"index";"Latitude";"Longitude";"gares_id";"nom_gare";"nomlong";"ligne";"x";"y";"prix_moyen_2014";"prix_moyen_2015";"prix_moyen_2016";"prix_moyen_2017";"prix_moyen_2018";"prix_moyen_2019";"prix_moyen_global"
"334,0";"48,842746779799995";"2,29191241332";"282,0";"Félix Faure";"FELIX FAURE";"8";"648031,8468";"6860532,9003";"8262,163609783476";"8180,761142600196";"8710,365560388338";"9975,885067117357";"9796,925356714153";"9534,75536170076";"9076,80934971738"
"171,0";"48,863257945";"2,36666109472";"283,0";"Filles du Calvaire";"FILLES DU CALVAIRE";"8";"653535,9904";"6862766,9605";"8789,473271584306";"8602,785114348273";"9398,533861977205";"10397,898898144507";"10671,164561814916";"11874,202792123522";"9955,676416665456"
"17,0";"48,86980822020001";"2,30747079345";"293,0";"Franklin D.Roosevelt";"FRANKLIN-D.ROOSEVELT";"1";"649200,0725";"6863531,7539";"28618,572509083344";"16095,986210029765";"13436,48977110006";"15216,308402963754";"15555,426780104013";"20866,48928456239";"18298,212159640552"
"330,0";"48,868699847399995";"2,3095051573400003";"294,0";"Franklin D.Roosevelt";"FRANKLIN-D.ROOSEVELT";"9";"649348,2201";"6863407,2048";"33704,34573527589";"16490,445117578685";"14509,584804494447";"14222,600117836697";"16792,54079304346";"25018,486250264337";"20123,00046974892"
"19,0";"48,8386316462";"2,3224917498199997";"299,0";"Gaïté";"GAITE";"13";"650272,1513";"6860055,6505";"8506,130459091544";"8322,245254662881";"9059,775006943682";"7944,787771612795";"9643,360071358109";"10831,479803053453";"9051,296394453744"
"168,0";"48,8649166851";"2,39898444025";"301,0";"Gambetta";"GAMBETTA";"3";"655908,7036";"6862932,8653";"6549,213969571412";"4914,761968120175";"7038,987276416672";"7600,417424201383";"8091,554985122325";"8553,041211143533";"7124,662805762583"
"331,0";"48,8651634349";"2,3987465934400003";"302,0";"Gambetta";"GAMBETTA";"M3bis";"655891,4641";"6862960,4349";"6558,977967561668";"4924,8762343931785";"6994,944547830639";"7584,930484217984";"8096,12055385991";"8586,98439508897";"7124,472363825392"
"7,0";"48,842436797";"2,365184812";"311,0";"Gare d'Austerlitz";"AUSTERLITZ";"10";"653409,0746";"6860452,705";"3919,7164854847997";"8340,150647569439";"9309,692105342338";"9784,77097738069";"13744,821733251754";"10384,40337090439";"9247,259219988902"
"250,0";"48,842265386499996";"2,3653386529700002";"312,0";"Gare d'Austerlitz";"AUSTERLITZ";"5";"653420,212";"6860433,5551";"3927,9297104569537";"8284,669671796615";"9511,321677795408";"9781,319735491576";"14024,60644256082";"10656,122717387318";"9364,328325914781"
"23,0";"48,8759910648";"2,3578807719299997";"313,0";"Gare de l'Est";"GARE DE L'EST";"4";"652903,3623";"6864187,9922";"7374,866355050043";"8813,392998007452";"7684,440346122745";"8535,795208351727";"8633,926920556254";"10912,423980511465";"8659,140968099948"
