"x";"y";"Station";"prix_moyen_2014";"prix_moyen_2015";"prix_moyen_2016";"prix_moyen_2017";"prix_moyen_2018";"prix_moyen_2019";"prix_moyen_global";"Correspondance_1";"Correspondance_2";"Correspondance_3";"Correspondance_4";"Correspondance_5";"Trafic";"nb_lignes"
"651449,5655";"6865156,6779";"ABBESSES";"8669,510195339546";"8219,605721078311";"8426,392421274611";"10018,139838923053";"9471,742476421094";"9929,533787570512";"9122,487406767854";"12";"";"";"";"";"2349588";"1"
"650605,2307";"6858891,5557";"ALESIA";"8124,67428710372";"8233,265941990741";"8349,418530425703";"8550,29826702651";"9023,36561075846";"10061,082124221204";"8723,684126921056";"4";"";"";"";"";"4764374";"1"
"655576,9894";"6861985,8376";"ALEXANDRE DUMAS";"6402,4605948664375";"7027,325856475073";"7517,940788996331";"8021,839735899221";"20876,10508532909";"8766,83601270365";"9768,751345711635";"2";"";"";"";"";"3439879";"1"
"648719,8026";"6862975,3829";"ALMA-MARCEAU";"28820,55645948815";"12055,55262385965";"14289,795164479834";"13942,28357803852";"14522,88201517988";"13895,775867238499";"16254,47428471409";"9";"";"";"";"";"4382709";"1"
"651901,2249";"6864961,0235";"ANVERS";"7859,897853129926";"7919,1251972327045";"8119,90612587968";"9490,95280027636";"9365,383238238826";"9412,21298604463";"8694,579700133689";"2";"";"";"";"";"5643147";"1"
"647874,6513";"6864186,9211";"ARGENTINE";"10937,023519046852";"8757,89944441099";"9016,668564576748";"9163,682818808677";"10806,550643333801";"10645,54269286124";"9887,89461383972";"1";"";"";"";"";"3026210";"1"
"652809,6586";"6863017,0982";"ARTS ET METIERS";"9013,715257160266";"9394,13481952584";"9589,512821035558";"10632,28575639558";"10566,740576911714";"12994,885127550835";"10365,212393096634";"3";"11";"";"";"";"4011632";"2"
"650183,7135";"6862520,0466";"ASSEMBLEE NATIONALE";"13640,964816803935";"12867,141043337795";"15869,847952358341";"14105,219078796183";"16343,350013997087";"25195,63224924366";"16337,025859089501";"12";"";"";"";"";"1063551";"1"
"653414,6433000001";"6860443,13005";"AUSTERLITZ";"3923,823097970877";"8312,410159683026";"9410,506891568872";"9783,045356436132";"13884,714087906286";"10520,263044145853";"9305,793772951842";"5";"10";"";"";"";"9887549";"2"
"648293,5441";"6861005,6876";"AVENUE EMILE ZOLA";"8634,169811237833";"8370,015881566072";"8851,202720900887";"9279,00641086177";"9978,415332497514";"10556,95333745609";"9278,293915753362";"10";"";"";"";"";"1479759";"1"
"655847,3058";"6861442,5619";"AVRON";"7141,8434070811445";"7136,920797254104";"7229,985140724465";"7946,045646467352";"8009,349486874811";"8822,195652973434";"7714,390021895885";"2";"";"";"";"";"1871024";"1"
"647015,7484";"6859784,1873";"BALARD";"7300,917855916347";"7432,030042990916";"7291,784642545372";"8459,436517547456";"8773,683376634131";"9162,058214656394";"8069,98510838177";"8";"";"";"";"";"5626040";"1"
"652346,5444";"6865040,9004999995";"BARBES-ROCHECHOUART";"6979,288588265688";"6813,427534103659";"6914,76568321978";"7907,690684174802";"8294,531601055867";"9032,258954098552";"7656,993840819725";"2";"4";"";"";"";"7974496";"2"
"653712,5270666666";"6861638,065533333";"BASTILLE";"9692,204947979508";"8586,769107011198";"10310,349218080999";"9974,679938539373";"11572,577116914763";"12205,848837463467";"10390,404860998218";"1";"5";"8";"";"";"13151192";"3"
"656030,6977";"6860310,0664";"BEL-AIR";"6967,748817542268";"8115,726051358554";"7398,006625372075";"8494,49373286392";"8028,9326624324785";"8647,671389924872";"7942,096546582361";"6";"";"";"";"";"2247926";"1"
"654276,3874";"6863742,0173";"BELLEVILLE";"6911,840684277584";"6663,492727415014";"6541,848232259502";"7712,3500583711875";"10581,088745268778";"9066,473070064043";"7912,8489196093515";"2";"11";"";"";"";"10735544";"2"
"654474,80165";"6860194,9617";"BERCY";"6292,773024985579";"7236,899720289786";"7764,634113500213";"7758,353869080582";"7855,535147855962";"8733,994291147275";"7607,0316944765655";"6";"14";"";"";"";"6311543";"2"
"654173,3908";"6859062,6022";"BIBLIOTHEQUE FRANCOIS MITTERRAND";"6877,883617677046";"5743,913941468391";"7533,51503372841";"10813,744846147863";"13614,174002630167";"8915,486372872487";"8916,452969087395";"14";"";"";"";"";"19754334";"1"
"647853,8595";"6861779,4605";"BIR-HAKEIM (GRENELLE)";"8844,785536085847";"8433,593594580705";"8597,290943571827";"9497,468242694797";"10121,60986074963";"10105,298212292537";"9266,674398329224";"6";"";"";"";"";"6903648";"1"
"651007,2769";"6865089,7195";"BLANCHE";"14496,685713185423";"8012,0895485050805";"8537,598063559175";"10048,189973655126";"9199,26550952689";"9800,217977956985";"10015,674464398115";"2";"";"";"";"";"3893362";"1"
"647920,0418";"6863228,9678";"BOISSIERE";"13376,107067950326";"10031,695278478144";"10324,267190730487";"10087,655247921739";"11401,564018410492";"12183,462539476212";"11234,125223827898";"6";"";"";"";"";"1919511";"1"
"654100,662";"6864715,5006";"BOLIVAR";"6552,219234115122";"6859,6945615534405";"6978,483693996848";"7709,464363224885";"7880,860293123302";"8143,359503747333";"7354,013608293489";"7bis";"";"";"";"";"546780";"1"
"652356,5489";"6863544,515";"BONNE NOUVELLE";"8971,402948633446";"8692,344594490456";"9388,045228276244";"9692,448879258523";"10178,857722559522";"11937,745258073906";"9810,140771882016";"8";"9";"";"";"";"4583027";"2"
"655197,2716";"6864557,9604";"BOTZARIS";"6668,662001390941";"6202,297329810609";"6728,319909036284";"7273,383866694716";"7745,9693102555575";"8308,959537050103";"7154,5986590397015";"7bis";"";"";"";"";"993450";"1"
"647739,0763";"6860351,7535";"BOUCICAUT";"8262,62223299026";"8055,237750178833";"8341,369441390692";"9572,956843682197";"9182,143757725285";"9534,340489064602";"8824,778419171978";"8";"";"";"";"";"3152108";"1"
"651638,0039";"6863387,2034";"BOURSE";"17532,841783747608";"13298,915491899794";"10470,728424802222";"13037,388938912574";"14155,69170971973";"14909,628022623332";"13900,865728617544";"3";"";"";"";"";"3386481";"1"
"653789,9847";"6861973,5003";"BREGUET-SABIN";"9539,35071140623";"8457,844017512356";"10248,568357344862";"8341,08722400689";"11727,265152642765";"11934,952366379297";"10041,511304882066";"5";"";"";"";"";"1791352";"1"
"650151,8308";"6865834,137";"BROCHANT";"7313,289968114285";"7152,03071657168";"7163,022172311619";"7986,659509033692";"9385,093578654492";"8850,223770944442";"7975,0532859383675";"13";"";"";"";"";"2984525";"1"
"654646,2892";"6864454,645";"BUTTES-CHAUMONT";"6291,537110806257";"6192,2511595924025";"6331,226064639969";"7382,14774360729";"7867,168134272203";"8547,040623904246";"7101,895139470394";"7bis";"";"";"";"";"545750";"1"
"656047,1453";"6861474,6081";"BUZENVAL";"6246,000630964696";"6808,8666635730915";"7092,504973766579";"7633,83267004274";"7511,567933218821";"8496,640051528017";"7298,235487182324";"9";"";"";"";"";"1941769";"1"
"651894,4424";"6864185,1221";"CADET";"8762,274723329698";"8012,753389431585";"10673,892653214338";"9089,525514510138";"10036,654060487586";"11695,08061335476";"9711,69682572135";"7";"";"";"";"";"3042484";"1"
"648847,9145";"6861054,9765";"CAMBRONNE";"8827,979659470997";"8688,34223553512";"9155,932253662317";"9674,911718419216";"10004,753741957851";"11114,268302043243";"9577,697985181458";"6";"";"";"";"";"2524418";"1"
"652935,9416";"6859684,6612";"CAMPO-FORMIO";"7890,788520864093";"8260,924044404557";"8893,68799910847";"8526,47122599824";"8394,099663083962";"9549,213886615014";"8585,864223345723";"5";"";"";"";"";"1335450";"1"
"652417,6279";"6860930,0204";"CARDINAL-LEMOINE";"13261,998372147742";"11297,706730597643";"10606,9653232135";"11271,601534039148";"12080,299639944638";"11424,041024573959";"11657,102104086107";"10";"";"";"";"";"1663781";"1"
"652420,525";"6860243,8862";"CENSIER-DAUBENTON";"11331,271248647998";"10114,898598373406";"9422,700139295792";"10036,276158887094";"10505,760033851246";"10731,626197787877";"10357,0887294739";"7";"";"";"";"";"3385284";"1"
"649656,4692500001";"6863299,3105";"CHAMPS-ELYSEES-CLEMENCEAU";"22191,982146652696";"19573,289258279707";"10763,020921497453";"14706,668932889652";"19159,43161846039";"26820,850278634607";"18869,207192735747";"1";"13";"";"";"";"4006171";"2"
"646165,0737";"6860823,2591";"CHARDON-LAGACHE";"7630,281484769429";"7685,9486487846325";"8064,521340602552";"8488,996481250715";"8772,293759625893";"9872,524708312434";"8419,094403890942";"10";"";"";"";"";"692665";"1"
"648339,9965";"6864098,618366666";"CHARLES DE GAULLE ETOILE";"10605,941995006557";"11297,672478440387";"9865,0194654266";"10666,131240076886";"23171,206650718286";"13685,903282011868";"13215,31251861343";"1";"2";"6";"";"";"7296559";"3"
"647601,6846";"6860957,9773";"CHARLES MICHELS";"8456,917761991821";"8184,692002623728";"8363,49500412121";"9511,543031572723";"9332,633284228996";"9893,763373607993";"8957,174076357745";"10";"";"";"";"";"4601730";"1"
"654915,2006";"6861791,1422";"CHARONNE";"8423,980136636243";"7900,43759939276";"7665,113376989449";"8454,871818429956";"17136,81074437071";"9578,420586279968";"9859,939043683182";"9";"";"";"";"";"3652338";"1"
