id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2018-1368599,2018-01-05,000001,Vente,318500,1,,RUE DE MIRBEL,6383,75005,75105,Paris 5e Arrondissement,75,,,75105000AU0035,,,43,25.69,,,,,,,,,1,2,Appartement,30,2,,,,,,2.352396,48.840521
2018-1368604,2018-01-08,000001,Vente,520000,322,,RUE SAINT JACQUES,8648,75005,75105,Paris 5e Arrondissement,75,,,75105000BF0073,,,30,39,,,,,,,,,1,2,Appartement,39,2,,,,,,2.340189,48.84022
2018-1368605,2018-01-05,000001,Vente,463932,1,,RUE DES FOSSES ST MARCEL,3751,75005,75105,Paris 5e Arrondissement,75,,,75105000AR0089,,,11,52.15,73,,,,,,,,2,2,Appartement,53,2,,,,,,2.356467,48.839477
2018-1368606,2018-01-10,000001,Vente,35000,93,,RUE MONGE,6432,75005,75105,Paris 5e Arrondissement,75,,,75105000AL0111,,,146,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.352439,48.841463
2018-1368608,2018-01-04,000001,Vente,330000,50,,RUE BROCA,1313,75005,75105,Paris 5e Arrondissement,75,,,75105000AW0079,,,27,34.17,,,,,,,,,1,2,Appartement,30,2,,,,,,2.346993,48.837671
2018-1368609,2018-01-08,000001,Vente,327500,54,,RUE HENRI BARBUSSE,4535,75005,75105,Paris 5e Arrondissement,75,,,75105000BF0024,,,13,,15,,7,,,,,,3,2,Appartement,31,0,,,,,,2.337701,48.83994
2018-1368611,2018-01-05,000001,Vente,807350,3,,RUE BERTHOLLET,0916,75005,75105,Paris 5e Arrondissement,75,,,75105000AX0008,,,15,56.06,,,,,,,,,1,2,Appartement,55,3,,,,,,2.346145,48.839899
2018-1368611,2018-01-05,000001,Vente,807350,3,,RUE BERTHOLLET,0916,75005,75105,Paris 5e Arrondissement,75,,,75105000AX0008,,,23,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.346145,48.839899
2018-1368616,2018-01-11,000001,Vente,235000,34,,BD DE L HOPITAL,4649,75005,75105,Paris 5e Arrondissement,75,,,75105000AQ0041,,,182,,50,20.53,,,,,,,2,2,Appartement,20,1,,,,,,2.361722,48.840699
2018-1368623,2018-01-03,000001,Vente,183000,56,,RUE DE LA MONTGN STE GENEVIEVE,6448,75005,75105,Paris 5e Arrondissement,75,,,75105000BL0049,,,19,14.02,,,,,,,,,1,2,Appartement,13,1,,,,,,2.34805,48.847338
2018-1368629,2018-01-23,000001,Vente,38000,21,,RUE POLIVEAU,7576,75005,75105,Paris 5e Arrondissement,75,,,75105000AR0095,,,1005,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.359427,48.840045
2018-1368630,2018-01-19,000001,Vente,150000,40,,RUE DU FER A MOULIN,3573,75005,75105,Paris 5e Arrondissement,75,,,75105000AU0046,,,42,12.72,,,,,,,,,1,2,Appartement,15,1,,,,,,2.352437,48.838922
2018-1368631,2018-01-12,000001,Vente,510500,26,,RUE DE LA MONTGN STE GENEVIEVE,6448,75005,75105,Paris 5e Arrondissement,75,,,75105000BL0018,,,30,,35,,7,,8,,,,4,2,Appartement,46,3,,,,,,2.348191,48.848343
2018-1368632,2018-01-03,000001,Vente,930000,13,,RUE CUJAS,2487,75005,75105,Paris 5e Arrondissement,75,,,75105000BJ0015,,,32,,9,76.9,,,,,,,2,2,Appartement,82,3,,,,,,2.342761,48.847472
2018-1368638,2018-01-23,000001,Vente,378125,65,,RUE MONGE,6432,75005,75105,Paris 5e Arrondissement,75,,,75105000AJ0116,,,35,,,,,,,,,,1,2,Appartement,14,1,,,,,,2.352672,48.844036
2018-1368638,2018-01-23,000001,Vente,378125,65,,RUE MONGE,6432,75005,75105,Paris 5e Arrondissement,75,,,75105000AJ0116,,,14,,33,,34,,,,,,3,2,Appartement,36,2,,,,,,2.352672,48.844036
2018-1368641,2018-01-19,000001,Vente,255000,7,,RUE DE LA COLLEGIALE,2187,75005,75105,Paris 5e Arrondissement,75,,,75105000AV0025,,,28,26.11,,,,,,,,,1,2,Appartement,28,2,,,,,,2.352066,48.837565
2018-1368642,2018-01-08,000001,Vente,400000,34,,BD SAINT GERMAIN,8619,75005,75105,Paris 5e Arrondissement,75,,,75105000AB0117,,,7,45.23,,,,,,,,,1,2,Appartement,47,2,,,,,,2.351697,48.849809
2018-1368644,2018-01-12,000001,Vente,260000,8,,BD SAINT MARCEL,8690,75005,75105,Paris 5e Arrondissement,75,,,75105000AR0038,,,30,44.01,52,,,,,,,,2,2,Appartement,31,2,,,,,,2.360829,48.84
2018-1368645,2018-01-12,000001,Vente,325000,70,,RUE MONGE,6432,75005,75105,Paris 5e Arrondissement,75,,,75105000AK0036,,,18,29.44,,,,,,,,,1,2,Appartement,39,2,,,,,,2.351955,48.843509
2018-1368649,2018-01-23,000001,Vente,170000,11,,RUE LINNE,5696,75005,75105,Paris 5e Arrondissement,75,,,75105000AG0017,,,166,13.6,,,,,,,,,1,2,Appartement,16,1,,,,,,2.354367,48.844396
2018-1368652,2018-01-17,000001,Vente,410000,87,,RUE MONGE,6432,75005,75105,Paris 5e Arrondissement,75,,,75105000AL0076,,,316,,330,37.27,,,,,,,2,2,Appartement,37,2,,,,,,2.352383,48.84184
2018-1368655,2018-01-12,000001,Vente,840000,1,,RUE DE MIRBEL,6383,75005,75105,Paris 5e Arrondissement,75,,,75105000AU0035,,,20,,38,72.43,,,,,,,2,2,Appartement,52,3,,,,,,2.352396,48.840521
2018-1368655,2018-01-12,000001,Vente,840000,1,,RUE DE MIRBEL,6383,75005,75105,Paris 5e Arrondissement,75,,,75105000AU0035,,,44,,47,,,,,,,,2,2,Appartement,24,2,,,,,,2.352396,48.840521
2018-1368657,2018-01-25,000001,Vente,350000,35,,RUE LINNE,5696,75005,75105,Paris 5e Arrondissement,75,,,75105000AJ0154,,,1,47.27,,,,,,,,,1,4,Local industriel. commercial ou assimilé,47,0,,,,,,2.354222,48.845801
2018-1368658,2018-01-05,000001,Vente,570000,3,,RUE CLOTAIRE,2143,75005,75105,Paris 5e Arrondissement,75,,,75105000BK0037,,,23,,4,62.95,,,,,,,2,4,Local industriel. commercial ou assimilé,65,0,,,,,,2.344853,48.84558
2018-1368658,2018-01-05,000001,Vente,570000,3,,RUE CLOTAIRE,2143,75005,75105,Paris 5e Arrondissement,75,,,75105000BK0037,,,23,,4,62.95,,,,,,,2,2,Appartement,53,2,,,,,,2.344853,48.84558
2018-1368663,2018-01-11,000001,Vente,643300,9,,RUE SOUFFLOT,9041,75005,75105,Paris 5e Arrondissement,75,,,75105000BJ0051,,,24,42.07,25,,,,,,,,2,2,Appartement,42,2,,,,,,2.342951,48.846689
2018-1368668,2018-01-08,000001,Vente,1000000,4,,RUE ROYER COLLARD,8421,75005,75105,Paris 5e Arrondissement,75,,,75105000BI0040,,,26,72.77,,,,,,,,,1,2,Appartement,82,3,,,,,,2.342396,48.845835
2018-1368669,2018-01-15,000001,Vente,540000,3,,RUE FUSTEL DE COULANGES,3890,75005,75105,Paris 5e Arrondissement,75,,,75105000BF0063,,,29,47.84,3,,,,,,,,2,2,Appartement,48,2,,,,,,2.339072,48.839694
2018-1368670,2018-01-10,000001,Vente,102000,13,,RUE PIERRE NICOLE,7467,75005,75105,Paris 5e Arrondissement,75,,,75105000BG0056,,,137,9,,,,,,,,,1,3,Dépendance,,0,,,,,,2.340321,48.841461
2018-1368671,2018-01-12,000001,Vente,620000,36,,RUE DES BOULANGERS,1156,75005,75105,Paris 5e Arrondissement,75,,,75105000AH0032,,,19,,6,82.21,,,,,,,2,2,Appartement,80,4,,,,,,2.352631,48.846377
2018-1368673,2018-01-22,000001,Vente,1875000,25,,RUE DESCARTES,2724,75005,75105,Paris 5e Arrondissement,75,,,75105000AJ0001,,,39,,40,,,,,,,,2,4,Local industriel. commercial ou assimilé,27,0,,,,,,2.349378,48.846007
2018-1368673,2018-01-22,000001,Vente,1875000,25,,RUE DESCARTES,2724,75005,75105,Paris 5e Arrondissement,75,,,75105000AJ0001,,,19,,3,,50,121.26,,,,,3,4,Local industriel. commercial ou assimilé,143,0,,,,,,2.349378,48.846007
2018-1368674,2018-01-22,000001,Vente,138000,9,,RUE SAINT SEVERIN,8760,75005,75105,Paris 5e Arrondissement,75,,,75105000BP0090,,,12,25,,,,,,,,,1,2,Appartement,36,2,,,,,,2.344951,48.852259
2018-1368675,2018-01-23,000001,Vente,336230,4,B,RUE SAINT SEVERIN,8760,75005,75105,Paris 5e Arrondissement,75,,,75105000BP0033,,,12,27.83,,,,,,,,,1,2,Appartement,28,2,,,,,,2.345974,48.852454
2018-1368683,2018-01-23,000001,Vente,348000,7,,RUE LHOMOND,5648,75005,75105,Paris 5e Arrondissement,75,,,75105000AZ0004,,,47,31.7,,,,,,,,,1,2,Appartement,29,1,,,,,,2.345735,48.844427
2018-1368689,2018-01-04,000001,Vente,870000,9,,RUE GAY LUSSAC,3998,75005,75105,Paris 5e Arrondissement,75,,,75105000BI0017,,,3,74.25,,,,,,,,,1,2,Appartement,105,3,,,,,,2.341212,48.846379
2018-1368690,2018-01-11,000001,Vente en l'état futur d'achèvement,800000,,,,,,75105,Paris 5e Arrondissement,75,,,75105000AR0140,,,93,65.08,,,,,,,,,1,,,,,,,,,,2.35922,48.839881
2018-1368690,2018-01-11,000001,Vente en l'état futur d'achèvement,800000,,,,,,75105,Paris 5e Arrondissement,75,,,75105000AR0140,,,124,,,,,,,,,,1,,,,,,,,,,2.35922,48.839881
2018-1368691,2018-01-11,000001,Vente en l'état futur d'achèvement,620000,,,,,,75105,Paris 5e Arrondissement,75,,,75105000AR0140,,,133,,,,,,,,,,1,,,,,,,,,,2.35922,48.839881
2018-1368691,2018-01-11,000001,Vente en l'état futur d'achèvement,620000,,,,,,75105,Paris 5e Arrondissement,75,,,75105000AR0140,,,107,52,,,,,,,,,1,,,,,,,,,,2.35922,48.839881
2018-1368693,2018-01-04,000001,Vente,100000,96,,BD DE PORT ROYAL,7740,75005,75105,Paris 5e Arrondissement,75,,,75105000BF0028,,,35,,36,,39,,40,,,,4,2,Appartement,60,3,,,,,,2.337874,48.839602
2018-1368695,2018-01-17,000001,Vente,170000,46,,RUE POLIVEAU,7576,75005,75105,Paris 5e Arrondissement,75,,,75105000AR0110,,,102,33.77,124,,,,,,,,2,4,Local industriel. commercial ou assimilé,33,0,,,,,,2.356709,48.83984
2018-1368697,2018-01-23,000001,Vente,440000,69,,RUE BUFFON,1371,75005,75105,Paris 5e Arrondissement,75,,,75105000AM0007,,,101,,32,44.7,,,,,,,2,2,Appartement,48,2,,,,,,2.356842,48.841093
2018-1368698,2018-01-25,000001,Vente,268500,342,,RUE SAINT JACQUES,8648,75005,75105,Paris 5e Arrondissement,75,,,75105000BF0067,,,30,24.02,,,,,,,,,1,2,Appartement,20,1,,,,,,2.33976,48.839537
2018-1368699,2018-01-16,000001,Vente,111000,342,,RUE SAINT JACQUES,8648,75005,75105,Paris 5e Arrondissement,75,,,75105000BF0067,,,23,8.18,,,,,,,,,1,2,Appartement,7,1,,,,,,2.33976,48.839537
2018-1368700,2018-01-04,000001,Vente,455000,8,,RUE GRACIEUSE,4259,75005,75105,Paris 5e Arrondissement,75,,,75105000AK0041,,,28,,4,39.64,,,,,,,2,2,Appartement,43,3,,,,,,2.351723,48.842288
2018-1368701,2018-01-10,000001,Vente,94500,17,,RUE DE L ESTRAPADE,3377,75005,75105,Paris 5e Arrondissement,75,,,75105000AZ0008,,,13,24.8,,,,,,,,,1,2,Appartement,28,3,,,,,,2.346354,48.844693
2018-1368702,2018-01-31,000001,Vente,380000,8,,RUE AMYOT,0302,75005,75105,Paris 5e Arrondissement,75,,,75105000AZ0028,,,56,27.18,,,,,,,,,1,2,Appartement,27,2,,,,,,2.347355,48.843616
2018-1368708,2018-01-10,000001,Vente,425000,19,,RUE CLAUDE BERNARD,2069,75005,75105,Paris 5e Arrondissement,75,,,75105000AW0047,,,25,41.53,,,,,,,,,1,2,Appartement,36,2,,,,,,2.348591,48.839039
2018-1368710,2018-01-15,000001,Vente,103000,18,,RUE DES PATRIARCHES,7103,75005,75105,Paris 5e Arrondissement,75,,,75105000AL0055,,,3,7.07,,,,,,,,,1,2,Appartement,6,1,,,,,,2.350435,48.840678
2018-1368720,2018-01-18,000001,Vente,707700,15,,RUE LARREY,5362,75005,75105,Paris 5e Arrondissement,75,,,75105000AK0062,,,114,,125,64.05,,,,,,,2,2,Appartement,43,3,,,,,,2.35321,48.842683
2018-1368723,2018-01-30,000001,Vente,567000,22,,BD SAINT MARCEL,8690,75005,75105,Paris 5e Arrondissement,75,,,75105000AR0045,,,22,60.33,,,,,,,,,1,2,Appartement,65,3,,,,,,2.359787,48.839664
2018-1368723,2018-01-30,000001,Vente,567000,22,,BD SAINT MARCEL,8690,75005,75105,Paris 5e Arrondissement,75,,,75105000AR0045,,,9,,,,,,,,,,1,2,Appartement,73,3,,,,,,2.359787,48.839664
2018-1368735,2018-01-18,000001,Vente,353000,7,,RUE DE L ESSAI,3368,75005,75105,Paris 5e Arrondissement,75,,,75105000AR0057,,,9,37.57,,,,,,,,,1,2,Appartement,33,2,,,,,,2.357956,48.839705
2018-1368738,2018-01-26,000001,Vente en l'état futur d'achèvement,1300000,,,,,,75105,Paris 5e Arrondissement,75,,,75105000AR0140,,,121,103.02,,,,,,,,,1,,,,,,,,,,2.35922,48.839881
