id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2018-1408962,2018-01-05,000001,Vente,84000,27,,RUE SAINTE APOLLINE,8538,75002,75102,Paris 2e Arrondissement,75,,,75102000AP0040,,,341,9.8,,,,,,,,,1,2,Appartement,9,1,,,,,,2.352813,48.869007
2018-1408964,2018-01-04,000001,Vente,1195100,237,,RUE SAINT DENIS,8525,75002,75102,Paris 2e Arrondissement,75,,,75102000AN0020,,,9,114.4,,,,,,,,,1,2,Appartement,115,4,,,,,,2.351423,48.867592
2018-1408967,2018-01-15,000001,Vente,90000,6,,RUE DU CAIRE,1432,75002,75102,Paris 2e Arrondissement,75,,,75102000AP0089,,,26,21,,,,,,,,,1,2,Appartement,10,1,,,,,,2.352381,48.867373
2018-1408968,2018-01-05,000001,Vente,92000,35,,RUE DE CLERY,2110,75002,75102,Paris 2e Arrondissement,75,,,75102000AO0091,,,23,9.5,,,,,,,,,1,2,Appartement,9,1,,,,,,2.348126,48.868714
2018-1408971,2018-01-09,000001,Vente,677260,164,,RUE MONTMARTRE,6513,75002,75102,Paris 2e Arrondissement,75,,,75102000AH0025,,,15,,16,,47,,,,,,3,2,Appartement,63,4,,,,,,2.343022,48.870379
2018-1408972,2018-01-11,000001,Vente,1,12,,RUE DU QUATRE SEPTEMBRE,7930,75002,75102,Paris 2e Arrondissement,75,,,75102000AG0134,,,77,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,129,0,,,,,,2.337453,48.869704
2018-1408972,2018-01-11,000001,Vente,1,12,,RUE DU QUATRE SEPTEMBRE,7930,75002,75102,Paris 2e Arrondissement,75,,,75102000AG0134,,,77,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.337453,48.869704
2018-1408973,2018-01-15,000001,Vente,50000,6,,RUE DE PORT MAHON,7738,75002,75102,Paris 2e Arrondissement,75,,,75102000AC0069,,,223,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.334338,48.869373
2018-1408974,2018-01-23,000001,Vente,310800,3,,RUE SAINT JOSEPH,8659,75002,75102,Paris 2e Arrondissement,75,,,75102000AI0034,,,77,30.8,,,,,,,,,1,2,Appartement,31,1,,,,,,2.34511,48.868196
2018-1408975,2018-01-11,000001,Vente,450000,34,,RUE DUSSOUBS,3055,75002,75102,Paris 2e Arrondissement,75,,,75102000AM0032,,,118,,136,45.49,,,,,,,2,2,Appartement,45,3,,,,,,2.349498,48.866427
