id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2016-1272773,2016-01-05,000001,Vente,58000,16,,RUE ETIENNE MARCEL,3392,75002,75102,Paris 2e Arrondissement,75,,,75102000AL0156,,,69,,,,,,,,,,1,2,Appartement,10,1,,,,,,2.348714,48.864274
2016-1272774,2016-01-18,000001,Vente,860000,7,,RUE NOTRE DAME DES VICTOIRES,6840,75002,75102,Paris 2e Arrondissement,75,,,75102000AE0058,,,11,111.23,29,,50,,,,,,3,2,Appartement,108,4,,,,,,2.341242,48.867479
2016-1272776,2016-01-18,000001,Vente,78000,185,,RUE SAINT DENIS,8525,75002,75102,Paris 2e Arrondissement,75,,,75102000AM0198,,,27,10.03,,,,,,,,,1,2,Appartement,11,1,,,,,,2.35047,48.86607
2016-1272777,2016-01-15,000001,Vente,775000,62,,RUE MONTORGUEIL,6520,75002,75102,Paris 2e Arrondissement,75,,,75102000AL0009,,,208,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.347306,48.865275
2016-1272777,2016-01-15,000001,Vente,775000,20,,RUE MARIE STUART,6084,75002,75102,Paris 2e Arrondissement,75,,,75102000AL0009,,,106,70.82,,,,,,,,,1,2,Appartement,72,3,,,,,,2.347306,48.865275
2016-1272780,2016-01-19,000001,Vente,1,35,,RUE DE CLERY,2110,75002,75102,Paris 2e Arrondissement,75,,,75102000AO0091,,,46,,,,,,,,,,1,2,Appartement,43,1,,,,,,2.348126,48.868714
2016-1272780,2016-01-19,000001,Vente,1,35,,RUE DE CLERY,2110,75002,75102,Paris 2e Arrondissement,75,,,75102000AO0091,,,88,,,,,,,,,,1,2,Appartement,27,2,,,,,,2.348126,48.868714
2016-1272786,2016-01-18,000001,Vente,90000,10,,RUE LEOPOLD BELLAN,5582,75002,75102,Paris 2e Arrondissement,75,,,75102000AJ0092,,,8,9.31,,,,,,,,,1,3,Dépendance,,0,,,,,,2.346576,48.866609
2016-1272787,2016-01-28,000001,Vente,485000,3,,BD DE BONNE NOUVELLE,1097,75002,75102,Paris 2e Arrondissement,75,,,75102000AO0138,,,35,48.39,,,,,,,,,1,2,Appartement,50,2,,,,,,2.352093,48.869578
2016-1272789,2016-01-13,000001,Vente,434000,251,,RUE SAINT DENIS,8525,75002,75102,Paris 2e Arrondissement,75,,,75102000AP0108,,,48,,8,55.37,,,,,,,2,2,Appartement,55,2,,,,,,2.351261,48.868174
2016-1272792,2016-01-25,000001,Vente,55000,5,,RUE PAUL LELONG,7167,75002,75102,Paris 2e Arrondissement,75,,,75102000AJ0153,,,13,5.2,,,,,,,,,1,3,Dépendance,,0,,,,,,2.343314,48.867642
2016-1272793,2016-01-19,000001,Vente,618307,7,,RUE DU MAIL,5913,75002,75102,Paris 2e Arrondissement,75,,,75102000AJ0136,,,106,68.02,107,68.02,108,68.02,139,,204,,6,4,Local industriel. commercial ou assimilé,,0,,,,,,2.34193,48.866846
2016-1272796,2016-01-14,000001,Vente,1197550,91,,RUE D ABOUKIR,0040,75002,75102,Paris 2e Arrondissement,75,,,75102000AO0189,,,111,99.79,135,,,,,,,,2,2,Appartement,98,3,,,,,,2.348239,48.868329
