id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2015-1172343,2015-01-08,000001,Vente,1100000,11,,RUE DULONG,2980,75017,75117,Paris 17e Arrondissement,75,,,75117000CJ0088,,,14,102.59,,,,,,,,,1,4,Local industriel. commercial ou assimilé,,0,,,,,,2.317527,48.883658
2015-1172343,2015-01-08,000001,Vente,1100000,11,,RUE DULONG,2980,75017,75117,Paris 17e Arrondissement,75,,,75117000CJ0088,,,14,102.59,5,,,,,,,,2,2,Appartement,93,4,,,,,,2.317527,48.883658
2015-1172344,2015-01-07,000001,Vente,90000,18,,RUE JACQUEMONT,4776,75017,75117,Paris 17e Arrondissement,75,,,75117000DK0083,,,34,15.56,,,,,,,,,1,2,Appartement,16,1,,,,,,2.32211,48.887794
2015-1172345,2015-01-07,000001,Vente,552200,61,,RUE BOURSAULT,1214,75017,75117,Paris 17e Arrondissement,75,,,75117000CQ0057,,,20,,4,,,,,,,,2,2,Appartement,60,3,,,,,,2.318169,48.885467
2015-1172346,2015-01-08,000001,Vente,35000,5,,RUE ALFRED ROLL,0185,75017,75117,Paris 17e Arrondissement,75,,,75117000BE0048,,,97,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.300131,48.887372
2015-1172347,2015-01-06,000001,Vente,425100,11,,RUE GUERSANT,4376,75017,75117,Paris 17e Arrondissement,75,,,75117000AP0014,,,121,45.95,122,,,,,,,,2,2,Appartement,70,3,,,,,,2.290142,48.880166
2015-1172348,2015-01-05,000001,Vente,110000,6,,RUE MEISSONIER,6255,75017,75117,Paris 17e Arrondissement,75,,,75117000BN0009,,,74,,,,,,,,,,1,2,Appartement,11,1,,,,,,2.304782,48.883397
2015-1172349,2015-01-07,000001,Vente,461000,106,,BD PEREIRE,7258,75017,75117,Paris 17e Arrondissement,75,,,75117000BE0073,,,165,49.35,47,,,,,,,,2,2,Appartement,49,2,,,,,,2.298377,48.886159
2015-1172350,2015-01-09,000001,Vente,1629000,20,,RUE ALPHONSE DE NEUVILLE,0235,75017,75117,Paris 17e Arrondissement,75,,,75117000BT0053,,,6,226.85,,,,,,,,,1,2,Appartement,227,7,,,,,,2.302312,48.886336
2015-1172350,2015-01-09,000001,Vente,1629000,20,,RUE ALPHONSE DE NEUVILLE,0235,75017,75117,Paris 17e Arrondissement,75,,,75117000BT0053,,,68,,,,,,,,,,1,2,Appartement,130,4,,,,,,2.302312,48.886336
2015-1172351,2015-01-09,000002,Vente,1000,20,,RUE ALPHONSE DE NEUVILLE,0235,75017,75117,Paris 17e Arrondissement,75,,,75117000BT0053,,,68,,,,,,,,,,1,2,Appartement,130,4,,,,,,2.302312,48.886336
2015-1172351,2015-01-09,000002,Vente,1000,20,,RUE ALPHONSE DE NEUVILLE,0235,75017,75117,Paris 17e Arrondissement,75,,,75117000BT0053,,,6,,,,,,,,,,1,2,Appartement,227,7,,,,,,2.302312,48.886336
2015-1172352,2015-01-07,000001,Vente,278000,164,,RUE CARDINET,1550,75017,75117,Paris 17e Arrondissement,75,,,75117000CS0030,,,158,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.317,48.889246
2015-1172352,2015-01-07,000001,Vente,278000,164,,RUE CARDINET,1550,75017,75117,Paris 17e Arrondissement,75,,,75117000CS0030,,,117,20.91,128,,,,,,,,2,2,Appartement,20,1,,,,,,2.317,48.889246
2015-1172353,2015-01-05,000001,Vente,898120,164,,RUE CARDINET,1550,75017,75117,Paris 17e Arrondissement,75,,,75117000CS0030,,,148,,154,,155,,159,,,,4,3,Dépendance,,0,,,,,,2.317,48.889246
2015-1172353,2015-01-05,000001,Vente,898120,164,,RUE CARDINET,1550,75017,75117,Paris 17e Arrondissement,75,,,75117000CS0030,,,177,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.317,48.889246
2015-1172353,2015-01-05,000001,Vente,898120,164,,RUE CARDINET,1550,75017,75117,Paris 17e Arrondissement,75,,,75117000CS0030,,,119,33.38,132,,,,,,,,2,2,Appartement,33,1,,,,,,2.317,48.889246
2015-1172353,2015-01-05,000001,Vente,898120,164,,RUE CARDINET,1550,75017,75117,Paris 17e Arrondissement,75,,,75117000CS0030,,,111,38.43,126,,,,,,,,2,2,Appartement,38,1,,,,,,2.317,48.889246
2015-1172354,2015-01-08,000001,Vente en l'état futur d'achèvement,750000,,,,,,75117,Paris 17e Arrondissement,75,,,75117000DF0087,,,163,,,,,,,,,,1,,,,,,,,,,2.317032,48.891225
