id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2015-1180207,2015-01-05,000001,Vente,50973334,94,,AV GAMBETTA,3933,75020,75120,Paris 20e Arrondissement,75,,,75120000BR0016,,25,,,,,,,,,,,0,,,,,,,,,,2.404428,48.86918
2015-1180207,2015-01-05,000001,Vente,50973334,23,T,RUE DU SURMELIN,9132,75020,75120,Paris 20e Arrondissement,75,,,75120000BR0016,,29,,,,,,,,,,,0,,,,,,,,,,2.404428,48.86918
2015-1180208,2015-01-02,000001,Vente,230000,44,,RUE DES PYRENEES,7904,75020,75120,Paris 20e Arrondissement,75,,,75120000EB0001,,,17,,28,30.94,,,,,,,2,2,Appartement,31,2,,,,,,2.406555,48.851397
2015-1180210,2015-01-05,000001,Vente,281000,78,,RUE PELLEPORT,7228,75020,75120,Paris 20e Arrondissement,75,,,75120000BL0001,,,2,51.77,,,,,,,,,1,2,Appartement,49,3,,,,,,2.402597,48.867228
2015-1180211,2015-01-09,000001,Vente,15000,65,,RUE DE LA PLAINE,7508,75020,75120,Paris 20e Arrondissement,75,,,75120000DX0070,,,94,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.404518,48.850587
2015-1180212,2015-01-08,000001,Vente,28000,22,,RUE DE LA REUNION,8180,75020,75120,Paris 20e Arrondissement,75,,,75120000DP0036,,,231,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.403711,48.853573
2015-1180212,2015-01-08,000001,Vente,28000,22,,RUE DE LA REUNION,8180,75020,75120,Paris 20e Arrondissement,75,,,75120000DP0036,,,271,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.403711,48.853573
2015-1180214,2015-01-09,000001,Vente,290000,5,,RUE ORFILA,6924,75020,75120,Paris 20e Arrondissement,75,,,75120000CC0044,,,9,39.51,,,,,,,,,1,2,Appartement,31,2,,,,,,2.394843,48.865731
2015-1180215,2015-01-09,000002,Vente,225000,104,,BD DE CHARONNE,1887,75020,75120,Paris 20e Arrondissement,75,,,75120000DR0193,,,36,,8,32.07,,,,,,,2,2,Appartement,30,2,,,,,,2.396955,48.853892
2015-1180217,2015-01-13,000001,Vente,200500,47,,RUE DU BORREGO,1112,75020,75120,Paris 20e Arrondissement,75,,,75120000AV0020,,,187,39.37,270,,,,,,,,2,2,Appartement,38,2,,,,,,2.401784,48.874136
2015-1180219,2015-01-05,000001,Vente,510000,37,,RUE ORFILA,6924,75020,75120,Paris 20e Arrondissement,75,,,75120000CC0065,,,19,77.91,3,,,,,,,,2,2,Appartement,81,4,,,,,,2.396659,48.866658
2015-1180220,2015-01-12,000001,Vente,235000,22,,RUE STENDHAL,9085,75020,75120,Paris 20e Arrondissement,75,,,75120000CL0060,,,140,27.03,,,,,,,,,1,2,Appartement,29,1,,,,,,2.402064,48.861919
2015-1180224,2015-01-12,000001,Vente,235000,46,,RUE DES ORTEAUX,6958,75020,75120,Paris 20e Arrondissement,75,,,75120000DO0239,,,199,,499,45.01,,,,,,,2,2,Appartement,32,1,,,,,,2.403431,48.856139
2015-1180225,2015-01-14,000001,Vente,80000,10,,VLA GAGLIARDINI,3913,75020,75120,Paris 20e Arrondissement,75,,,75120000AZ0090,,,803,19.39,835,,,,,,,,2,2,Appartement,27,1,,,,,,2.403191,48.875724
2015-1180226,2015-01-09,000001,Vente,309382,57,,RUE ETIENNE MAREY,3394,75020,75120,Paris 20e Arrondissement,75,,,75120000BM0044,,,26,65.43,84,,,,,,,,2,2,Appartement,65,3,,,,,,2.40527,48.868789
2015-1180228,2015-01-12,000001,Vente,381700,32,,RUE DES PARTANTS,7072,75020,75120,Paris 20e Arrondissement,75,,,75120000CA0046,,,27,,9,47.8,,,,,,,2,2,Appartement,50,3,,,,,,2.392845,48.865282
2015-1180229,2015-01-14,000001,Vente,480000,99,,RUE DES GRANDS CHAMPS,4287,75020,75120,Paris 20e Arrondissement,75,,,75120000DY0022,,,2,84.62,33,,,,,,,,2,2,Appartement,82,4,,,,,,2.407579,48.852063
2015-1180231,2015-01-16,000001,Vente,126000,3,,PAS DAGORNO,2510,75020,75120,Paris 20e Arrondissement,75,,,75120000DO0087,,,1,22.1,23,,,,,,,,2,2,Appartement,42,0,,,,,,2.40461,48.855695
2015-1180232,2015-01-05,000001,Vente,210000,54,,RUE DES GRANDS CHAMPS,4287,75020,75120,Paris 20e Arrondissement,75,,,75120000DX0083,,,22,28.86,,,,,,,,,1,2,Appartement,28,1,,,,,,2.403228,48.850772
2015-1180233,2015-01-16,000001,Vente,280000,114,,RUE VILLIERS ISLE ADAM,9844,75020,75120,Paris 20e Arrondissement,75,,,75120000CD0059,,,4,21.36,,,,,,,,,1,2,Appartement,24,1,,,,,,2.400208,48.868592
2015-1180233,2015-01-16,000001,Vente,280000,114,,RUE VILLIERS ISLE ADAM,9844,75020,75120,Paris 20e Arrondissement,75,,,75120000CD0059,,,3,23.46,,,,,,,,,1,2,Appartement,24,1,,,,,,2.400208,48.868592
2015-1180234,2015-01-20,000001,Vente,225000,55,,RUE DE L ERMITAGE,3324,75020,75120,Paris 20e Arrondissement,75,,,75120000AI0018,,,24,,4,35.82,,,,,,,2,2,Appartement,43,3,,,,,,2.393185,48.872335
2015-1180235,2015-01-12,000001,Vente,69500,3,,RUE DU GROUPE MANOUCHIAN,4352,75020,75120,Paris 20e Arrondissement,75,,,75120000BR0018,,,29,10.84,,,,,,,,,1,2,Appartement,12,1,,,,,,2.404565,48.869084
2015-1180236,2015-01-07,000001,Vente,176450,155,,RUE DE MENILMONTANT,6270,75020,75120,Paris 20e Arrondissement,75,,,75120000AS0097,,,58,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.397881,48.870694
2015-1180236,2015-01-07,000001,Vente,176450,59,,RUE DE LA CHINE,2010,75020,75120,Paris 20e Arrondissement,75,,,75120000BV0114,,,125,,164,17.5,,,,,,,2,2,Appartement,17,1,,,,,,2.395678,48.869663
2015-1180238,2015-01-07,000001,Vente,180000,92,,RUE DE LA REUNION,8180,75020,75120,Paris 20e Arrondissement,75,,,75120000CW0015,,,10,19.08,,,,,,,,,1,2,Appartement,19,2,,,,,,2.400118,48.857188
