id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2019-1062992,2019-01-03,000001,Vente,1570490,13,,RUE DE THORIGNY,9298,75003,75103,Paris 3e Arrondissement,75,,,75103000AL0015,,,182,,50,102.8,,,,,,,2,2,Appartement,104,3,,,,,,2.363076,48.860305
2019-1062992,2019-01-03,000001,Vente,1570490,13,,RUE DE THORIGNY,9298,75003,75103,Paris 3e Arrondissement,75,,,75103000AL0015,,,116,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.363076,48.860305
2019-1062994,2019-01-03,000001,Vente,5400,79,,RUE DES GRAVILLIERS,4302,75003,75103,Paris 3e Arrondissement,75,,,75103000AV0022,,,28,,,,,,,,,,1,2,Appartement,21,1,,,,,,2.353479,48.864674
2019-1062995,2019-01-10,000001,Vente,230000,4,,RUE BLONDEL,1021,75003,75103,Paris 3e Arrondissement,75,,,75103000AB0130,,,12,22.28,,,,,,,,,1,2,Appartement,26,1,,,,,,2.354961,48.868615
2019-1062996,2019-01-04,000001,Vente,47500,6,,RUE DES HAUDRIETTES,4483,75003,75103,Paris 3e Arrondissement,75,,,75103000AR0005,,,362,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.357892,48.86205
2019-1062998,2019-01-07,000001,Vente,506800,4,,CITE DUPETIT THOUARS,2996,75003,75103,Paris 3e Arrondissement,75,,,75103000AG0072,,,15,42.68,,,,,,,,,1,2,Appartement,45,2,,,,,,2.362024,48.865675
2019-1063000,2019-01-09,000001,Vente,582000,13,,RUE DU PONT AUX CHOUX,7605,75003,75103,Paris 3e Arrondissement,75,,,75103000AL0051,,,16,43.53,32,,,,,,,,2,2,Appartement,41,2,,,,,,2.366022,48.860861
2019-1063006,2019-01-07,000001,Vente,300000,170,,RUE DU TEMPLE,9191,75003,75103,Paris 3e Arrondissement,75,,,75103000AG0110,,,111,23.74,,,,,,,,,1,2,Appartement,28,1,,,,,,2.361632,48.865995
2019-1063013,2019-01-14,000001,Vente,755000,14,,RUE DES COUTURES SAINT GERVAIS,2412,75003,75103,Paris 3e Arrondissement,75,,,75103000AL0009,,,103,50.64,112,,,,,,,,2,2,Appartement,58,2,,,,,,2.362446,48.860212
2019-1063014,2019-01-10,000001,Vente,170250,6,,RUE REAUMUR,8073,75003,75103,Paris 3e Arrondissement,75,,,75103000AE0038,,,27,16.24,,,,,,,,,1,2,Appartement,15,1,,,,,,2.35929,48.864942
2019-1063015,2019-01-11,000001,Vente,165000,50,,RUE DES FRANCS BOURGEOIS,3820,75003,75103,Paris 3e Arrondissement,75,,,75103000AP0042,,,22,15.1,,,,,,,,,1,2,Appartement,10,1,,,,,,2.358667,48.859369
