id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude
2014-1054429;03/01/14;1;Vente;450000;41;;RUE DES PETITS CHAMPS;7348;75001;75101;Paris 1er Arrondissement;75;;;75101000AW0029;;;4;44.48;;;;;;;;;1;2;Appartement;60;2;;;;;;2.336053;48.86679
2014-1054430;09/01/14;2;Vente;210000;15;;RUE JEAN JACQUES ROUSSEAU;4901;75001;75101;Paris 1er Arrondissement;75;;;75101000AS0012;;;55;23;;;;;;;;;1;2;Appartement;20;1;;;;;;2.340218;48.862656
2014-1054441;15/01/14;1;Vente;320000;46;;RUE SAINT DENIS;8525;75001;75101;Paris 1er Arrondissement;75;;;75101000AO0008;;;7;30.69;;;;;;;;;1;2;Appartement;30;1;;;;;;2.348715;48.860615
2014-1054443;07/01/14;1;Vente;1460146.5;20;;RUE HEROLD;4619;75001;75101;Paris 1er Arrondissement;75;;;75101000AR0134;;;16;132.78;30;;;;;;;;2;2;Appartement;160;4;;;;;;2.342434;48.865185
2014-1054443;07/01/14;1;Vente;1460146.5;20;;RUE HEROLD;4619;75001;75101;Paris 1er Arrondissement;75;;;75101000AR0134;;;44;;;;;;;;;;1;3;D̩pendance;;0;;;;;;2.342434;48.865185
2014-1054443;07/01/14;1;Vente;1460146.5;20;;RUE HEROLD;4619;75001;75101;Paris 1er Arrondissement;75;;;75101000AR0134;;;43;;;;;;;;;;1;3;D̩pendance;;0;;;;;;2.342434;48.865185
2014-1054447;14/01/14;1;Vente;732000;8;;RUE COQUILLIERE;2318;75001;75101;Paris 1er Arrondissement;75;;;75101000AR0095;;;15;;6;76.1;;;;;;;2;2;Appartement;70;3;;;;;;2.343707;48.863617
2014-1054450;14/01/14;1;Vente;728000;2;B;RUE DU BOULOI;1178;75001;75101;Paris 1er Arrondissement;75;;;75101000AS0008;;;130;65.69;;;;;;;;;1;2;Appartement;64;3;;;;;;2.340243;48.863074
2014-1054453;03/01/14;1;Vente;600000;400;;RUE SAINT HONORE;8635;75001;75101;Paris 1er Arrondissement;75;;;75101000BC0077;;;13;57.58;43;;;;;;;;2;2;Appartement;56;2;;;;;;2.32513;48.868047
2014-1054466;09/01/14;1;Vente;198610;12;;RUE BERTIN POIREE;920;75001;75101;Paris 1er Arrondissement;75;;;75101000AN0030;;;38;;4;19.28;;;;;;;2;2;Appartement;19;1;;;;;;2.345016;48.858646
2014-1054468;09/01/14;1;Vente;184000;3;;RUE SAUVAL;8855;75001;75101;Paris 1er Arrondissement;75;;;75101000AT0007;;;11;20.4;;;;;;;;;1;2;Appartement;24;1;;;;;;2.342212;48.861784
2014-1054473;16/01/14;1;Vente;127939;16;;RUE MONTMARTRE;6513;75001;75101;Paris 1er Arrondissement;75;;;75101000AQ0012;;;36;16.89;;;;;;;;;1;2;Appartement;7;1;;;;;;2.345986;48.863887
2014-1054482;20/01/14;1;Vente;500;2;;RUE BERGER;885;75001;75101;Paris 1er Arrondissement;75;;;75101000AP0064;;;86;;;;;;;;;;1;4;Local industriel. commercial ou assimil̩;;0;;;;;;2.349051;48.860996
2014-1054489;10/01/14;1;Vente;200200;6;;RUE CROIX DES PETITS CHAMPS;2453;75001;75101;Paris 1er Arrondissement;75;;;75101000AS0024;;;11;20.01;;;;;;;;;1;2;Appartement;20;1;;;;;;2.339547;48.862523
2014-1054491;13/01/14;1;Vente;350000;14;;RUE VAUVILLIERS;9631;75001;75101;Paris 1er Arrondissement;75;;;75101000AT0035;;;15;30.7;;;;;;;;;1;2;Appartement;35;1;;;;;;2.343487;48.861767
2014-1054499;16/01/14;1;Vente;224000;17;;RUE HEROLD;4619;75001;75101;Paris 1er Arrondissement;75;;;75101000AR0014;;;23;27.6;6;;;;;;;;2;2;Appartement;28;2;;;;;;2.341546;48.865076
2014-1054504;24/01/14;1;Vente;188962;16;;RUE MONTMARTRE;6513;75001;75101;Paris 1er Arrondissement;75;;;75101000AQ0012;;;39;24.82;;;;;;;;;1;2;Appartement;14;1;;;;;;2.345986;48.863887
2014-1054506;20/01/14;1;Vente;500;2;;RUE BERGER;885;75001;75101;Paris 1er Arrondissement;75;;;75101000AP0064;;;87;;;;;;;;;;1;2;Appartement;73;2;;;;;;2.349051;48.860996
2014-1054513;29/01/14;1;Echange;48000;34;;RUE DU LOUVRE;5825;75001;75101;Paris 1er Arrondissement;75;;;75101000AT0003;;;37;;40;14.7;;;;;;;2;4;Local industriel. commercial ou assimil̩;3730;0;;;;;;2.341631;48.861833
2014-1054514;29/01/14;2;Echange;150900;34;;RUE DU LOUVRE;5825;75001;75101;Paris 1er Arrondissement;75;;;75101000AT0003;;;46;17.2;;;;;;;;;1;4;Local industriel. commercial ou assimil̩;460;0;;;;;;2.341631;48.861833
2014-1054514;29/01/14;2;Echange;150900;34;;RUE DU LOUVRE;5825;75001;75101;Paris 1er Arrondissement;75;;;75101000AT0003;;;28;;29;;;;;;;;2;4;Local industriel. commercial ou assimil̩;755;0;;;;;;2.341631;48.861833
2014-1054521;16/01/14;1;Vente;144000;17;;RUE HEROLD;4619;75001;75101;Paris 1er Arrondissement;75;;;75101000AR0014;;;18;18.27;;;;;;;;;1;2;Appartement;20;1;;;;;;2.341546;48.865076
2014-1054528;23/01/14;1;Vente;220000;18;;RUE MONTMARTRE;6513;75001;75101;Paris 1er Arrondissement;75;;;75101000AQ0011;;;19;;22;;29;;38;;45;;6;4;Local industriel. commercial ou assimil̩;68;0;;;;;;2.346079;48.864
2014-1054534;24/01/14;1;Vente;344500;26;;RUE MONTORGUEIL;6520;75001;75101;Paris 1er Arrondissement;75;;;75101000AQ0050;;;6;37.81;;;;;;;;;1;2;Appartement;38;2;;;;;;2.346646;48.863619
2014-1054543;30/01/14;1;Vente;810000;19;;RUE JEAN JACQUES ROUSSEAU;4901;75001;75101;Paris 1er Arrondissement;75;;;75101000AS0007;;;154;95.32;;;;;;;;;1;2;Appartement;90;4;;;;;;2.340375;48.862867
2014-1054545;03/02/14;1;Vente;1250190.87;20;;RUE HEROLD;4619;75001;75101;Paris 1er Arrondissement;75;;;75101000AR0134;;;9;104.12;;;;;;;;;1;2;Appartement;130;4;;;;;;2.342434;48.865185
2014-1054545;03/02/14;1;Vente;1250190.87;20;;RUE HEROLD;4619;75001;75101;Paris 1er Arrondissement;75;;;75101000AR0134;;;39;;;;;;;;;;1;3;D̩pendance;;0;;;;;;2.342434;48.865185
2014-1054547;21/01/14;1;Vente;460000;267;;RUE SAINT HONORE;8635;75001;75101;Paris 1er Arrondissement;75;;;75101000BD0006;;;65;;83;46.5;;;;;;;2;2;Appartement;20;1;;;;;;2.324769;48.867435
2014-1054547;21/01/14;1;Vente;460000;267;;RUE SAINT HONORE;8635;75001;75101;Paris 1er Arrondissement;75;;;75101000BD0006;;;83;46.5;;;;;;;;;1;3;D̩pendance;;0;;;;;;2.324769;48.867435
2014-1054547;21/01/14;1;Vente;460000;267;;RUE SAINT HONORE;8635;75001;75101;Paris 1er Arrondissement;75;;;75101000BD0006;;;83;46.5;;;;;;;;;1;3;D̩pendance;;0;;;;;;2.324769;48.867435
2014-1054548;30/01/14;1;Vente;615000;16;;PL DAUPHINE;2594;75001;75101;Paris 1er Arrondissement;75;;;75101000AL0008;;;15;;;;;;;;;;1;3;D̩pendance;;0;;;;;;2.342545;48.856882
2014-1054548;30/01/14;1;Vente;615000;16;;PL DAUPHINE;2594;75001;75101;Paris 1er Arrondissement;75;;;75101000AL0008;;;12;29.48;25;;;;;;;;2;2;Appartement;36;2;;;;;;2.342545;48.856882
2014-1054549;28/01/14;1;Vente;737400;15;;RUE DU BOULOI;1178;75001;75101;Paris 1er Arrondissement;75;;;75101000AR0062;;;18;;;;;;;;;;1;2;Appartement;48;1;;;;;;2.340819;48.863798
2014-1054549;28/01/14;1;Vente;737400;15;;RUE DU BOULOI;1178;75001;75101;Paris 1er Arrondissement;75;;;75101000AR0062;;;32;83.16;;;;;;;;;1;4;Local industriel. commercial ou assimil̩;23;0;;;;;;2.340819;48.863798
2014-1054551;22/01/14;1;Vente;1214000;62;;RUE JEAN JACQUES ROUSSEAU;4901;75001;75101;Paris 1er Arrondissement;75;;;75101000AR0087;;;17;;;;;;;;;;1;2;Appartement;75;3;;;;;;2.343917;48.863953
2014-1054551;22/01/14;1;Vente;1214000;62;;RUE JEAN JACQUES ROUSSEAU;4901;75001;75101;Paris 1er Arrondissement;75;;;75101000AR0087;;;16;;;;;;;;;;1;2;Appartement;37;2;;;;;;2.343917;48.863953
2014-1054563;05/02/14;1;Vente;500000;220;;RUE DE RIVOLI;8249;75001;75101;Paris 1er Arrondissement;75;;;75101000AY0013;;;16;43.5;;;;;;;;;1;2;Appartement;42;2;;;;;;2.329031;48.865065
2014-1054572;07/02/14;1;Vente;230000;41;;RUE COQUILLIERE;2318;75001;75101;Paris 1er Arrondissement;75;;;75101000AR0045;;;17;28.63;36;;;;;;;;2;2;Appartement;28;1;;;;;;2.34065;48.864499
2014-1054575;21/01/14;1;Vente;205000;10;;RUE CROIX DES PETITS CHAMPS;2453;75001;75101;Paris 1er Arrondissement;75;;;75101000AS0009;;;75;;;;;;;;;;1;2;Appartement;19;1;;;;;;2.339853;48.862752
