id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2018-1376112,2018-01-03,000001,Vente,249400,48,,BD DE PICPUS,7401,75012,75112,Paris 12e Arrondissement,75,,,75112000AC0041,,,41,30.65,,,,,,,,,1,2,Appartement,29,2,,,,,,2.402114,48.843376
2018-1376114,2018-01-03,000001,Vente,313700,78,,QUAI DE LA RAPEE,8037,75012,75112,Paris 12e Arrondissement,75,,,75112000EK0024,,,104,32.2,159,,,,,,,,2,2,Appartement,32,2,,,,,,2.370325,48.844588
2018-1376115,2018-01-10,000001,Vente,313249,33,,RUE DE TOUL,9353,75012,75112,Paris 12e Arrondissement,75,,,75112000AR0056,,,178,29.34,79,,,,,,,,2,2,Appartement,38,2,,,,,,2.401931,48.839931
2018-1376117,2018-01-11,000001,Vente,80000,15,,BD DE REUILLY,8174,75012,75112,Paris 12e Arrondissement,75,,,75112000CB0008,,,15,7.44,,,,,,,,,1,3,Dépendance,,0,,,,,,2.391097,48.839454
2018-1376118,2018-01-04,000001,Vente,392640,24,,RUE LAMBLARDIE,5298,75012,75112,Paris 12e Arrondissement,75,,,75112000BY0022,,,11,46.1,,,,,,,,,1,2,Appartement,45,3,,,,,,2.398415,48.840608
2018-1376125,2018-01-15,000001,Vente,450000,135,,RUE DE CHARENTON,1794,75012,75112,Paris 12e Arrondissement,75,,,75112000HA0036,,,93,48.83,,,,,,,,,1,2,Appartement,48,2,,,,,,2.381471,48.845358
2018-1376126,2018-01-05,000001,Vente,495000,88,,RUE DE PICPUS,7402,75012,75112,Paris 12e Arrondissement,75,,,75112000BY0032,,,31,,7,53.08,,,,,,,2,2,Appartement,48,2,,,,,,2.399257,48.84037
2018-1376130,2018-01-05,000001,Vente,318800,7,,VLA DU BEL AIR,0811,75012,75112,Paris 12e Arrondissement,75,,,75112000AH0028,,,21,,3,33.02,,,,,,,2,2,Appartement,40,2,,,,,,2.4091,48.8431
2018-1376131,2018-01-12,000001,Vente,598800,86,,AV DAUMESNIL,2584,75012,75112,Paris 12e Arrondissement,75,,,75112000CW0040,,,136,,6,69.47,,,,,,,2,2,Appartement,68,3,,,,,,2.382691,48.843427
2018-1376134,2018-01-12,000001,Vente,30000,9,B,VLA DE SAINT MANDE,8683,75012,75112,Paris 12e Arrondissement,75,,,75112000CL0064,,,275,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.39965,48.845991
