id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2018-1408963,2018-01-08,000001,Vente,4800000,18,,RUE MALHER,5958,75004,75104,Paris 4e Arrondissement,75,,,75104000AN0013,,,2,,22,180.6,23,180.6,,,,,3,4,Local industriel. commercial ou assimilé,190,0,,,,,,2.361713,48.856325
2018-1408965,2018-01-10,000001,Vente,1083250,28,B,BD DE SEBASTOPOL,8894,75004,75104,Paris 4e Arrondissement,75,,,75104000AB0007,,,30,,40,,8,98.2,,,,,3,2,Appartement,91,3,,,,,,2.350002,48.861011
2018-1408966,2018-01-10,000001,Vente,330000,21,,RUE DU PETIT MUSC,7338,75004,75104,Paris 4e Arrondissement,75,,,75104000AQ0041,,,18,,9,,,,,,,,2,2,Appartement,22,2,,,,,,2.364012,48.852699
2018-1408969,2018-01-08,000001,Vente,723000,4,,RUE DE RIVOLI,8249,75004,75104,Paris 4e Arrondissement,75,,,75104000AN0003,,,14,71.74,73,,75,,76,,,,4,2,Appartement,80,4,,,,,,2.361476,48.855438
2018-1408970,2018-01-16,000001,Vente,245700,5,,RUE BEAUTREILLIS,0797,75004,75104,Paris 4e Arrondissement,75,,,75104000AQ0082,,,11,19.27,37,,,,,,,,2,2,Appartement,23,1,,,,,,2.362924,48.852465
2018-1408978,2018-01-15,000001,Vente,1030000,10,,RUE LE REGRATTIER,5599,75004,75104,Paris 4e Arrondissement,75,,,75104000AV0096,,,241,89.41,242,,243,,266,,,,4,2,Appartement,82,2,,,,,,2.354851,48.851952
2018-1408979,2018-01-22,000001,Vente,237870,16,,RUE DES TOURNELLES,9382,75004,75104,Paris 4e Arrondissement,75,,,75104000AO0174,,,123,15.43,,,,,,,,,1,2,Appartement,23,1,,,,,,2.367745,48.854474
2018-1408981,2018-01-23,000001,Vente,5500,7,,RUE PECQUAY,7213,75004,75104,Paris 4e Arrondissement,75,,,75104000AG0043,,,1,,,,,,,,,,1,2,Appartement,32,2,,,,,,2.355666,48.85994
2018-1408982,2018-01-17,000001,Vente,5000,38,,RUE DU TEMPLE,9191,75004,75104,Paris 4e Arrondissement,75,,,75104000AG0079,,,148,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,68,0,,,,,,2.354867,48.859709
2018-1408983,2018-01-12,000001,Vente,220000,27,,RUE DU TEMPLE,9191,75004,75104,Paris 4e Arrondissement,75,,,75104000AG0109,,,4,16.54,,,,,,,,,1,2,Appartement,19,1,,,,,,2.353688,48.859202
