id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2015-1184917,2015-01-09,000001,Vente,255000,4,,IMP GUEMENEE,4365,75004,75104,Paris 4e Arrondissement,75,,,75104000AO0057,,,9,26.69,,,,,,,,,1,2,Appartement,30,1,,,,,,2.366199,48.853984
2015-1184919,2015-01-14,000001,Vente,126000,9,,RUE AUBRIOT,0523,75004,75104,Paris 4e Arrondissement,75,,,75104000AH0049,,,67,,99,,,,,,,,2,2,Appartement,10,1,,,,,,2.357011,48.858784
2015-1184921,2015-01-14,000001,Vente,701350,15,,RUE DU PETIT MUSC,7338,75004,75104,Paris 4e Arrondissement,75,,,75104000AQ0078,,,46,58.49,59,,,,,,,,2,2,Appartement,52,3,,,,,,2.363283,48.852333
2015-1184922,2015-01-14,000001,Vente,249000,23,,RUE DES BLANCS MANTEAUX,1013,75004,75104,Paris 4e Arrondissement,75,,,75104000AH0063,,,54,,84,20.74,,,,,,,2,2,Appartement,21,1,,,,,,2.35651,48.859058
2015-1184924,2015-01-07,000001,Vente,163717,18,,RUE DES ECOUFFES,3106,75004,75104,Paris 4e Arrondissement,75,,,75104000AI0074,,,27,,,,,,,,,,1,2,Appartement,21,1,,,,,,2.359057,48.856886
2015-1184925,2015-01-19,000001,Vente,2515000,23,,RUE DU RENARD,8132,75004,75104,Paris 4e Arrondissement,75,,,75104000AC0036,,,10,190.2,9,115.2,,,,,,,2,4,Local industriel. commercial ou assimilé,,0,,,,,,2.352024,48.859271
2015-1184928,2015-01-14,000001,Vente,740000,1,,RUE DES BLANCS MANTEAUX,1013,75004,75104,Paris 4e Arrondissement,75,,,75104000AH0067,,,9,67,,,,,,,,,1,2,Appartement,68,2,,,,,,2.358086,48.858289
2015-1184930,2015-01-14,000001,Vente,312000,70,,RUE ST LOUIS EN L ILE,8678,75004,75104,Paris 4e Arrondissement,75,,,75104000AV0005,,,30,22.11,,,,,,,,,1,2,Appartement,20,2,,,,,,2.355162,48.852486
2015-1184931,2015-01-28,000001,Vente,299000,57,,RUE QUINCAMPOIX,7970,75004,75104,Paris 4e Arrondissement,75,,,75104000AB0014,,,48,31.31,,,,,,,,,1,2,Appartement,31,2,,,,,,2.350456,48.861523
2015-1184935,2015-01-13,000001,Vente,370000,57,,RUE QUINCAMPOIX,7970,75004,75104,Paris 4e Arrondissement,75,,,75104000AB0014,,,53,38.02,,,,,,,,,1,2,Appartement,35,3,,,,,,2.350456,48.861523
