id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2015-1144816,2015-01-16,000001,Vente,60750,12,,RUE DE TURBIGO,9504,75001,75101,Paris 1er Arrondissement,75,,,75101000AQ0074,,,2,80,,,,,,,,,1,4,Local industriel. commercial ou assimilé,65,0,,,,,,2.348612,48.863586
2015-1144818,2015-01-08,000001,Vente,219465.65,20,,RUE HEROLD,4619,75001,75101,Paris 1er Arrondissement,75,,,75101000AR0134,,,4,24.1,,,,,,,,,1,2,Appartement,24,1,,,,,,2.342434,48.865185
2015-1144820,2015-01-16,000001,Vente,1000000,11,,RUE DU JOUR,5033,75001,75101,Paris 1er Arrondissement,75,,,75101000AR0103,,,2,95.07,,,,,,,,,1,2,Appartement,100,3,,,,,,2.344193,48.863734
2015-1144824,2015-01-05,000001,Vente,550000,14,,RUE DE BEAUJOLAIS,0776,75001,75101,Paris 1er Arrondissement,75,,,75101000AV0070,,,11,46.88,13,,,,,,,,2,2,Appartement,48,1,,,,,,2.338693,48.86621
2015-1144830,2015-01-21,000001,Vente,1254000,22,,QUAI DU LOUVRE,5824,75001,75101,Paris 1er Arrondissement,75,,,75101000AK0024,,,12,,13,,15,,25,140.05,,,4,2,Appartement,182,3,,,,,,2.341007,48.859023
2015-1144835,2015-01-06,000001,Vente,2100000,8,,RUE DU VINGT NEUF JUILLET,9864,75001,75101,Paris 1er Arrondissement,75,,,75101000AY0096,,,4,157.5,,,,,,,,,1,2,Appartement,156,5,,,,,,2.330824,48.865195
2015-1144835,2015-01-06,000001,Vente,2100000,8,,RUE DU VINGT NEUF JUILLET,9864,75001,75101,Paris 1er Arrondissement,75,,,75101000AY0096,,,14,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.330824,48.865195
2015-1144836,2015-01-19,000001,Vente,1600000,179,,RUE SAINT HONORE,8635,75001,75101,Paris 1er Arrondissement,75,,,75101000AX0092,,,10,107.35,110,,,,,,,,2,2,Appartement,107,3,,,,,,2.333161,48.864135
2015-1144836,2015-01-19,000001,Vente,1600000,179,,RUE SAINT HONORE,8635,75001,75101,Paris 1er Arrondissement,75,,,75101000AX0092,,,56,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.333161,48.864135
2015-1144845,2015-01-13,000001,Vente,210000,140,,RUE DE RIVOLI,8249,75001,75101,Paris 1er Arrondissement,75,,,75101000AT0102,,,28,,29,13,30,9.02,,,,,3,4,Local industriel. commercial ou assimilé,80,0,,,,,,2.343111,48.860429
2015-1144846,2015-01-14,000001,Vente,323918,23,,RUE MOLIERE,6407,75001,75101,Paris 1er Arrondissement,75,,,75101000AW0060,,,206,29.54,,,,,,,,,1,2,Appartement,31,1,,,,,,2.336108,48.865638
2015-1144847,2015-01-13,000001,Vente,1000000,2,,RUE DE LA COSSONNERIE,2357,75001,75101,Paris 1er Arrondissement,75,,,75101000AP0062,,,7,119.73,,,,,,,,,1,2,Appartement,119,4,,,,,,2.349322,48.861472
2015-1144851,2015-01-09,000001,Vente,875000,17,,RUE DES PYRAMIDES,7902,75001,75101,Paris 1er Arrondissement,75,,,75101000AW0108,,,28,,43,77.18,,,,,,,2,2,Appartement,80,4,,,,,,2.333117,48.865515
2015-1144853,2015-01-12,000001,Vente,181000,10,,RUE BAILLET,0630,75001,75101,Paris 1er Arrondissement,75,,,75101000AK0033,,,15,12.45,16,,25,,,,,,3,2,Appartement,15,1,,,,,,2.342305,48.859904
2015-1144866,2015-01-08,000001,Vente,130000,8,,RUE THERESE,9260,75001,75101,Paris 1er Arrondissement,75,,,75101000AW0049,,,17,10.56,,,,,,,,,1,2,Appartement,56,3,,,,,,2.335947,48.866158
2015-1144868,2015-01-21,000001,Vente,684000,9,,RUE MOLIERE,6407,75001,75101,Paris 1er Arrondissement,75,,,75101000AW0067,,,36,,7,79.36,,,,,,,2,2,Appartement,61,3,,,,,,2.335655,48.865116
2015-1144893,2015-01-30,000001,Vente,151000,20,,RUE DU PONT NEUF,7619,75001,75101,Paris 1er Arrondissement,75,,,75101000AO0134,,,35,8.08,,,,,,,,,1,3,Dépendance,,0,,,,,,2.34477,48.860526
2015-1144893,2015-01-30,000001,Vente,151000,20,,RUE DU PONT NEUF,7619,75001,75101,Paris 1er Arrondissement,75,,,75101000AO0134,,,31,8.23,37,,,,,,,,2,2,Appartement,70,3,,,,,,2.34477,48.860526
2015-1144896,2015-01-23,000001,Vente,1,21,,RUE DU BOULOI,1178,75001,75101,Paris 1er Arrondissement,75,,,75101000AR0064,,,360,,,,,,,,,,1,2,Appartement,95,3,,,,,,2.341195,48.864037
2015-1144896,2015-01-23,000001,Vente,1,21,,RUE DU BOULOI,1178,75001,75101,Paris 1er Arrondissement,75,,,75101000AR0064,,,360,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.341195,48.864037
2015-1144900,2015-01-30,000001,Vente,15000,14,,RUE D ALGER,0191,75001,75101,Paris 1er Arrondissement,75,,,75101000AY0036,,,26,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.330206,48.865499
2015-1144903,2015-01-26,000001,Vente,1350000,245,,RUE SAINT HONORE,8635,75001,75101,Paris 1er Arrondissement,75,,,75101000BD0063,,,16,97.76,45,,,,,,,,2,2,Appartement,71,3,,,,,,2.327544,48.866808
2015-1144916,2015-01-29,000001,Vente,345000,10,,RUE CROIX DES PETITS CHAMPS,2453,75001,75101,Paris 1er Arrondissement,75,,,75101000AS0009,,,107,,49,36.69,50,,,,,,3,2,Appartement,40,2,,,,,,2.339853,48.862752
2015-1144918,2015-01-29,000001,Vente,1300000,11,,RUE DU MARCHE ST HONORE,6034,75001,75101,Paris 1er Arrondissement,75,,,75101000AZ0026,,,18,120.8,,,,,,,,,1,2,Appartement,94,4,,,,,,2.331016,48.866396
2015-1144922,2015-01-21,000001,Vente,112071,68,,RUE JEAN JACQUES ROUSSEAU,4901,75001,75101,Paris 1er Arrondissement,75,,,75101000AR0084,,,26,11.53,,,,,,,,,1,2,Appartement,18,1,,,,,,2.344361,48.86419
2015-1144925,2015-01-19,000001,Vente,149000,9,,RUE DES ORFEVRES,6921,75001,75101,Paris 1er Arrondissement,75,,,75101000AN0031,,,2,,,,,,,,,,1,2,Appartement,27,1,,,,,,2.345182,48.858592
2015-1144940,2015-02-09,000001,Vente,390000,154,,RUE DE RIVOLI,8249,75001,75101,Paris 1er Arrondissement,75,,,75101000AT0143,,,12,25.17,,,,,,,,,1,2,Appartement,25,2,,,,,,2.341109,48.860979
2015-1144942,2015-02-05,000001,Vente,63500,10,,RUE DU JOUR,5033,75001,75101,Paris 1er Arrondissement,75,,,75101000AR0118,,,51,7.65,,,,,,,,,1,2,Appartement,7,1,,,,,,2.345291,48.863929
2015-1144951,2015-01-27,000001,Vente,115000,24,,AV VICTORIA,9765,75001,75101,Paris 1er Arrondissement,75,,,75101000AN0048,,,132,9.35,,,,,,,,,1,3,Dépendance,,0,,,,,,2.346115,48.858424
2015-1144954,2015-02-09,000001,Vente,242500,10,,RUE DE LA GRANDE TRUANDERIE,4278,75001,75101,Paris 1er Arrondissement,75,,,75101000AQ0089,,,15,20.5,,,,,,,,,1,2,Appartement,20,1,,,,,,2.349255,48.862885
2015-1144957,2015-02-09,000001,Vente,163000,13,,RUE HEROLD,4619,75001,75101,Paris 1er Arrondissement,75,,,75101000AR0012,,,63,18.79,72,,,,,,,,2,2,Appartement,18,1,,,,,,2.341323,48.865101
2015-1144960,2015-02-10,000001,Vente,380000,3,,RUE DE LA SOURDIERE,5368,75001,75101,Paris 1er Arrondissement,75,,,75101000AY0067,,,7,36.11,,,,,,,,,1,2,Appartement,47,2,,,,,,2.331696,48.865348
2015-1144979,2015-01-28,000001,Vente,990000,11,,RUE BERTIN POIREE,0920,75001,75101,Paris 1er Arrondissement,75,,,75101000AN0109,,,230,84.06,260,,,,,,,,2,2,Appartement,84,4,,,,,,2.344428,48.858889
2015-1144979,2015-01-28,000001,Vente,990000,11,,RUE BERTIN POIREE,0920,75001,75101,Paris 1er Arrondissement,75,,,75101000AN0109,,,559,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.344428,48.858889
2015-1144980,2015-01-28,000001,Vente,930000,11,,RUE BERTIN POIREE,0920,75001,75101,Paris 1er Arrondissement,75,,,75101000AN0109,,,228,81.31,259,,,,,,,,2,2,Appartement,81,4,,,,,,2.344428,48.858889
2015-1144980,2015-01-28,000001,Vente,930000,11,,RUE BERTIN POIREE,0920,75001,75101,Paris 1er Arrondissement,75,,,75101000AN0109,,,566,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.344428,48.858889
2015-1144982,2015-02-13,000001,Vente,725000,11,,RUE VILLEDO,9824,75001,75101,Paris 1er Arrondissement,75,,,75101000AW0047,,,26,,3,80.39,,,,,,,2,2,Appartement,78,3,,,,,,2.3359,48.866324
2015-1145000,2015-02-17,000001,Vente,5480000,222,,RUE DE RIVOLI,8249,75001,75101,Paris 1er Arrondissement,75,,,75101000AY0010,,,39,,40,,41,,42,,,,4,2,Appartement,211,3,,,,,,2.32884,48.865112
