id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2015-1154614,2015-01-09,000001,Vente,92000,5,,RUE DE LA BRECHE AUX LOUPS,1265,75012,75112,Paris 12e Arrondissement,75,,,75112000BT0039,,,30,10.29,,,,,,,,,1,2,Appartement,10,1,,,,,,2.392698,48.836481
2015-1154617,2015-01-08,000001,Vente,815000,27,,RUE DE LYON,5866,75012,75112,Paris 12e Arrondissement,75,,,75112000EN0014,,,13,146.43,,,,,,,,,1,3,Dépendance,,0,,,,,,2.371226,48.847626
2015-1154617,2015-01-08,000001,Vente,815000,27,,RUE DE LYON,5866,75012,75112,Paris 12e Arrondissement,75,,,75112000EN0014,,,3,,,,,,,,,,1,2,Appartement,195,6,,,,,,2.371226,48.847626
2015-1154617,2015-01-08,000001,Vente,815000,27,,RUE DE LYON,5866,75012,75112,Paris 12e Arrondissement,75,,,75112000EN0014,,,18,,,,,,,,,,1,2,Appartement,30,2,,,,,,2.371226,48.847626
2015-1154618,2015-01-14,000001,Vente,64000,57,,BD PONIATOWSKI,7597,75012,75112,Paris 12e Arrondissement,75,,,75112000BN0033,,,367,9.85,,,,,,,,,1,2,Appartement,10,1,,,,,,2.401043,48.83349
2015-1154627,2015-01-15,000001,Vente,246000,5,,RUE DE TAHITI,9156,75012,75112,Paris 12e Arrondissement,75,,,75112000BZ0026,,,13,38.79,48,,,,,,,,2,2,Appartement,42,2,,,,,,2.400024,48.840665
2015-1154630,2015-01-08,000001,Vente,767500,21,,RUE BECCARIA,0803,75012,75112,Paris 12e Arrondissement,75,,,75112000EW0101,,,25,70,39,,,,,,,,2,2,Appartement,70,3,,,,,,2.378292,48.848059
2015-1154631,2015-01-08,000001,Vente,495000,56,,RUE DE FECAMP,3539,75012,75112,Paris 12e Arrondissement,75,,,75112000BP0065,,,33,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.401356,48.836427
2015-1154631,2015-01-08,000001,Vente,495000,56,,RUE DE FECAMP,3539,75012,75112,Paris 12e Arrondissement,75,,,75112000BP0065,,,22,67.05,73,,,,,,,,2,2,Appartement,67,3,,,,,,2.401356,48.836427
2015-1154637,2015-01-14,000001,Vente,610000,37,,RUE DU ROTTEMBOURG,8378,75012,75112,Paris 12e Arrondissement,75,,,75112000AP0010,,,475,,56,92.02,,,,,,,2,2,Appartement,95,5,,,,,,2.408076,48.839605
2015-1154638,2015-01-13,000001,Vente,190000,26,,RUE NICOLAI,6749,75012,75112,Paris 12e Arrondissement,75,,,75112000BS0010,,,1,33.4,35,,,,,,,,2,4,Local industriel. commercial ou assimilé,35,0,,,,,,2.394677,48.835985
2015-1154645,2015-01-08,000001,Vente,170000,5,,IMP CANART,1480,75012,75112,Paris 12e Arrondissement,75,,,75112000AI0126,,,4,19.71,,,,,,,,,1,2,Appartement,24,2,,,,,,2.408588,48.846089
2015-1154646,2015-01-06,000001,Vente,332000,9,,RUE LASSON,5370,75012,75112,Paris 12e Arrondissement,75,,,75112000AH0019,,,135,,2,49.64,,,,,,,2,2,Appartement,50,2,,,,,,2.40682,48.84339
2015-1154649,2015-01-06,000001,Vente,500000,28,,RUE DE LA VOUTE,9924,75012,75112,Paris 12e Arrondissement,75,,,75112000AI0097,,,10,79.29,11,,23,,,,,,3,2,Appartement,80,5,,,,,,2.408117,48.845761
2015-1154654,2015-01-12,000001,Vente,314000,10,,RUE EMILIO CASTELAR,3269,75012,75112,Paris 12e Arrondissement,75,,,75112000ET0051,,,22,35.66,8,,,,,,,,2,2,Appartement,43,2,,,,,,2.375634,48.848961
2015-1154657,2015-01-06,000001,Vente,646000,114,,RUE DE CHARENTON,1794,75012,75112,Paris 12e Arrondissement,75,,,75112000EW0031,,,116,71.77,144,,,,,,,,2,2,Appartement,72,3,,,,,,2.378068,48.846795
2015-1154657,2015-01-06,000001,Vente,646000,114,,RUE DE CHARENTON,1794,75012,75112,Paris 12e Arrondissement,75,,,75112000EW0031,,,139,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.378068,48.846795
2015-1154664,2015-01-06,000001,Vente,423000,40,,RUE DE TOUL,9353,75012,75112,Paris 12e Arrondissement,75,,,75112000AR0002,,,118,60.01,206,,,,,,,,2,2,Appartement,60,3,,,,,,2.403529,48.840534
2015-1154664,2015-01-06,000001,Vente,423000,9,,RUE MESSIDOR,6292,75012,75112,Paris 12e Arrondissement,75,,,75112000AR0006,,,25,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.403297,48.840439
2015-1154667,2015-01-06,000001,Vente,17500,50,,RUE DE PICPUS,7402,75012,75112,Paris 12e Arrondissement,75,,,75112000CI0021,,,767,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.395354,48.843398
2015-1154668,2015-01-07,000001,Vente,115300,16,,PAS DU CHANTIER,1752,75012,75112,Paris 12e Arrondissement,75,,,75112000ER0114,,,33,13.98,,,,,,,,,1,2,Appartement,14,1,,,,,,2.373588,48.851376
2015-1154670,2015-01-08,000001,Vente,35000,125,,BD DIDEROT,2792,75012,75112,Paris 12e Arrondissement,75,,,75112000CR0049,,,6,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.391914,48.84822
2015-1154673,2015-01-06,000001,Vente,23000,38,,RUE TAINE,9153,75012,75112,Paris 12e Arrondissement,75,,,75112000BV0005,,,403,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.39446,48.838881
2015-1154675,2015-01-07,000001,Echange,1000,34,,AV DU GAL MICHEL BIZOT,4075,75012,75112,Paris 12e Arrondissement,75,,,75112000BN0014,,,23,,,,,,,,,,1,2,Appartement,29,1,,,,,,2.400032,48.833666
2015-1154675,2015-01-07,000002,Echange,1000,34,,AV DU GAL MICHEL BIZOT,4075,75012,75112,Paris 12e Arrondissement,75,,,75112000BN0014,,,25,,,,,,,,,,1,2,Appartement,33,1,,,,,,2.400032,48.833666
2015-1154676,2015-01-07,000001,Vente,31000,114,,RUE DE CHARENTON,1794,75012,75112,Paris 12e Arrondissement,75,,,75112000EW0031,,,157,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.378068,48.846795
2015-1154678,2015-01-08,000001,Vente,87500,15,,AV LEDRU ROLLIN,5467,75012,75112,Paris 12e Arrondissement,75,,,75112000EL0026,,,59,9.7,,,,,,,,,1,3,Dépendance,,0,,,,,,2.368756,48.846821
2015-1154683,2015-01-15,000001,Vente,314000,6,,RUE SIDI BRAHIM,8970,75012,75112,Paris 12e Arrondissement,75,,,75112000BY0100,,,16,40.54,40,,,,,,,,2,2,Appartement,28,2,,,,,,2.399868,48.838518
2015-1154684,2015-01-15,000001,Vente,477700,19,,RUE DE LA VOUTE,9924,75012,75112,Paris 12e Arrondissement,75,,,75112000AI0007,,,490,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.406822,48.845944
