id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2015-1150921,2015-01-05,000001,Vente,920000,51,,RUE RODIER,8299,75009,75109,Paris 9e Arrondissement,75,,,75109000BB0064,,,18,,44,,,,,,,,2,2,Appartement,61,3,,,,,,2.34365,48.88064
2015-1150921,2015-01-05,000001,Vente,920000,51,,RUE RODIER,8299,75009,75109,Paris 9e Arrondissement,75,,,75109000BB0064,,,16,92.11,35,,,,,,,,2,2,Appartement,33,2,,,,,,2.34365,48.88064
2015-1150922,2015-01-12,000001,Vente,255000,9,,RUE CLAUZEL,2090,75009,75109,Paris 9e Arrondissement,75,,,75109000AG0014,,,18,33.54,48,,,,,,,,2,2,Appartement,34,2,,,,,,2.33864,48.878955
2015-1150927,2015-01-06,000001,Vente,557180,4,,RUE DE L AGENT BAILLY,0090,75009,75109,Paris 9e Arrondissement,75,,,75109000BA0088,,,23,57.98,24,,39,,,,,,3,2,Appartement,58,2,,,,,,2.342284,48.878501
2015-1150933,2015-01-09,000001,Vente,120000,33,,RUE CHAPTAL,1776,75009,75109,Paris 9e Arrondissement,75,,,75109000AC0166,,,6,14.84,,,,,,,,,1,3,Dépendance,,0,,,,,,2.33173,48.881058
2015-1150935,2015-01-22,000001,Vente,37000,40,,RUE DE ROCHECHOUART,8289,75009,75109,Paris 9e Arrondissement,75,,,75109000BE0008,,,37,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.346012,48.879124
2015-1150937,2015-01-14,000001,Vente,396000,7,,RUE FROCHOT,3871,75009,75109,Paris 9e Arrondissement,75,,,75109000AE0007,,,9,47.9,,,,,,,,,1,2,Appartement,45,3,,,,,,2.337211,48.881477
2015-1150940,2015-01-19,000001,Vente,534000,17,,RUE DE BRUXELLES,1345,75009,75109,Paris 9e Arrondissement,75,,,75109000AA0100,,,33,,9,60.86,,,,,,,2,2,Appartement,67,3,,,,,,2.328946,48.882771
2015-1150943,2015-01-05,000001,Vente,904300,8,,RUE DE CHANTILLY,1756,75009,75109,Paris 9e Arrondissement,75,,,75109000BE0086,,,6,106.22,,,,,,,,,1,3,Dépendance,,0,,,,,,2.347286,48.878436
2015-1150943,2015-01-05,000001,Vente,904300,8,,RUE DE CHANTILLY,1756,75009,75109,Paris 9e Arrondissement,75,,,75109000BE0086,,,6,106.22,,,,,,,,,1,2,Appartement,107,5,,,,,,2.347286,48.878436
2015-1150944,2015-01-20,000001,Vente,225000,38,,RUE DE DUNKERQUE,2990,75009,75109,Paris 9e Arrondissement,75,,,75109000BC0083,,,9,29.13,,,,,,,,,1,2,Appartement,29,1,,,,,,2.349615,48.881284
2015-1150951,2015-01-05,000001,Vente,810000,54,,RUE BLANCHE,1009,75009,75109,Paris 9e Arrondissement,75,,,75109000AC0143,,,26,,,,,,,,,,1,2,Appartement,93,4,,,,,,2.331999,48.880301
2015-1150952,2015-01-14,000001,Vente,162000,12,,PAS BRIARE,1290,75009,75109,Paris 9e Arrondissement,75,,,75109000AZ0103,,,113,21.36,,,,,,,,,1,2,Appartement,23,1,,,,,,2.343465,48.877253
2015-1150953,2015-01-15,000001,Vente,1218000,31,,RUE DE LA ROCHEFOUCAULD,5356,75009,75109,Paris 9e Arrondissement,75,,,75109000AI0046,,,21,,6,127.01,,,,,,,2,2,Appartement,127,6,,,,,,2.33451,48.879232
