id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2016-1260184,2016-01-05,000001,Vente,497500,20,,RUE GALVANI,3931,75017,75117,Paris 17e Arrondissement,75,,,75117000AX0012,,,30,,9,59.1,,,,,,,2,2,Appartement,61,2,,,,,,2.290333,48.884162
2016-1260185,2016-01-07,000001,Vente,460000,17,,RUE DES ACACIAS,0045,75017,75117,Paris 17e Arrondissement,75,,,75117000AG0076,,,48,47.36,,,,,,,,,1,2,Appartement,47,2,,,,,,2.291169,48.877072
2016-1260185,2016-01-07,000001,Vente,460000,17,,RUE DES ACACIAS,0045,75017,75117,Paris 17e Arrondissement,75,,,75117000AG0076,,,16,,,,,,,,,,1,2,Appartement,48,2,,,,,,2.291169,48.877072
2016-1260186,2016-01-11,000001,Vente,13500,36,,RUE DES RENAUDES,2752,75017,75117,Paris 17e Arrondissement,75,,,75117000AM0047,,,117,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.297974,48.880816
2016-1260187,2016-01-15,000001,Vente,310000,35,,RUE TRUFFAUT,9487,75017,75117,Paris 17e Arrondissement,75,,,75117000CP0044,,,14,31.94,,,,,,,,,1,2,Appartement,32,2,,,,,,2.320999,48.885866
2016-1260188,2016-01-15,000001,Vente,271500,29,,AV DES TERNES,9202,75017,75117,Paris 17e Arrondissement,75,,,75117000AH0055,,,8,29.9,,,,,,,,,1,2,Appartement,34,3,,,,,,2.294636,48.878238
2016-1260188,2016-01-15,000001,Vente,271500,29,,AV DES TERNES,9202,75017,75117,Paris 17e Arrondissement,75,,,75117000AH0055,,,126,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.294636,48.878238
2016-1260189,2016-01-13,000001,Vente,830000,2,,BD PEREIRE,7258,75017,75117,Paris 17e Arrondissement,75,,,75117000CD0017,,,73,,82,104.02,,,,,,,2,2,Appartement,100,5,,,,,,2.309953,48.888274
2016-1260190,2016-01-07,000001,Vente,300000,3,,PAS CARDINET,1549,75017,75117,Paris 17e Arrondissement,75,,,75117000CG0106,,,5,,7,59.7,,,,,,,2,2,Appartement,44,2,,,,,,2.310467,48.885641
2016-1260191,2016-01-08,000001,Vente,348000,52,,RUE DES BATIGNOLLES,0720,75017,75117,Paris 17e Arrondissement,75,,,75117000CP0014,,,29,35.2,30,35.2,87,,,,,,3,2,Appartement,40,2,,,,,,2.319469,48.886145
2016-1260192,2016-01-08,000001,Vente,192000,35,,RUE POUCHET,7766,75017,75117,Paris 17e Arrondissement,75,,,75117000DG0085,,,101,30.55,118,,,,,,,,2,2,Appartement,30,2,,,,,,2.319608,48.893433
2016-1260193,2016-01-08,000001,Vente,350000,33,,AV DE SAINT OUEN,8718,75017,75117,Paris 17e Arrondissement,75,,,75117000DL0168,,,233,,237,39.01,,,,,,,2,2,Appartement,38,2,,,,,,2.326004,48.889465
2016-1260194,2016-01-14,000001,Vente,292000,23,,AV DE CLICHY,2112,75017,75117,Paris 17e Arrondissement,75,,,75117000CM0108,,,330,36.34,66,,,,,,,,2,2,Appartement,32,2,,,,,,2.326136,48.885325
2016-1260195,2016-01-15,000001,Vente,810000,23,T,BD BERTHIER,0913,75017,75117,Paris 17e Arrondissement,75,,,75117000BW0015,,,103,69.57,,,,,,,,,1,2,Appartement,54,1,,,,,,2.300998,48.888331
2016-1260196,2016-01-19,000001,Vente,300000,27,,RUE LEMERCIER,5503,75017,75117,Paris 17e Arrondissement,75,,,75117000CO0103,,,1,71.83,2,,201,,,,,,3,4,Local industriel. commercial ou assimilé,55,0,,,,,,2.323438,48.88634
2016-1260197,2016-01-12,000001,Vente,127000,129,,AV DE SAINT OUEN,8718,75017,75117,Paris 17e Arrondissement,75,,,75117000DQ0227,,,62,17.71,,,,,,,,,1,2,Appartement,18,1,,,,,,2.328041,48.896131
2016-1260198,2016-01-08,000001,Vente,343475,3,,RUE DU DOBROPOL,2813,75017,75117,Paris 17e Arrondissement,75,,,75117000AS0028,,,85,38.95,,,,,,,,,1,2,Appartement,38,1,,,,,,2.28568,48.882418
2016-1260199,2016-01-19,000001,Vente,236000,4,,VLA JACQUEMONT,4775,75017,75117,Paris 17e Arrondissement,75,,,75117000DK0077,,,22,,50,32.55,,,,,,,2,2,Appartement,32,3,,,,,,2.322246,48.888337
2016-1260200,2016-01-18,000001,Vente,1410000,19,,RUE SALNEUVE,8792,75017,75117,Paris 17e Arrondissement,75,,,75117000CH0022,,,3,,,,,,,,,,1,2,Appartement,140,5,,,,,,2.313636,48.885441
2016-1260201,2016-01-19,000001,Vente,36000,94,,BD PEREIRE,7258,75017,75117,Paris 17e Arrondissement,75,,,75117000BE0061,,,263,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.299455,48.886698
