id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2016-1242860,2016-01-07,000001,Vente,210000,7,,RUE PACHE,6989,75011,75111,Paris 11e Arrondissement,75,,,75111000BO0032,,,47,24.09,81,,,,,,,,2,2,Appartement,25,2,,,,,,2.382048,48.858654
2016-1242861,2016-01-15,000001,Vente,344000,62,,RUE DE CHARONNE,1888,75011,75111,Paris 11e Arrondissement,75,,,75111000CE0122,,,23,,29,,3,31.81,,,,,3,4,Local industriel. commercial ou assimilé,31,0,,,,,,2.378872,48.853156
2016-1242864,2016-01-11,000001,Vente,154000,15,,CITE POPINCOURT,7624,75011,75111,Paris 11e Arrondissement,75,,,75111000BA0016,,,35,17.04,55,,,,,,,,2,2,Appartement,14,1,,,,,,2.375488,48.862769
2016-1242865,2016-01-08,000001,Vente,263000,104,,BD RICHARD LENOIR,8208,75011,75111,Paris 11e Arrondissement,75,,,75111000AR0022,,,3,27.54,,,,,,,,,1,2,Appartement,25,2,,,,,,2.371916,48.863626
2016-1242867,2016-01-08,000001,Vente,232000,21,,RUE RICHARD LENOIR,8209,75011,75111,Paris 11e Arrondissement,75,,,75111000BX0093,,,29,27.93,,,,,,,,,1,2,Appartement,29,2,,,,,,2.381521,48.855418
2016-1242868,2016-01-04,000001,Vente,252000,115,,BD DE MENILMONTANT,6267,75011,75111,Paris 11e Arrondissement,75,,,75111000AV0078,,,37,32.35,,,,,,,,,1,2,Appartement,32,2,,,,,,2.383799,48.865613
2016-1242869,2016-01-20,000001,Vente,123000,52,,RUE MERLIN,6280,75011,75111,Paris 11e Arrondissement,75,,,75111000BN0006,,,102,14.2,,,,,,,,,1,3,Dépendance,,0,,,,,,2.384933,48.861827
2016-1242871,2016-01-22,000001,Vente,16000,151,,RUE OBERKAMPF,6858,75011,75111,Paris 11e Arrondissement,75,,,75111000AI0042,,,7319,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.381355,48.867322
2016-1242872,2016-01-15,000001,Vente,230000,10,,IMP BON SECOURS,1103,75011,75111,Paris 11e Arrondissement,75,,,75111000BW0089,,,202,32,,,,,,,,,1,2,Appartement,31,2,,,,,,2.382824,48.855166
2016-1242872,2016-01-15,000001,Vente,230000,10,,IMP BON SECOURS,1103,75011,75111,Paris 11e Arrondissement,75,,,75111000BW0089,,,153,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.382824,48.855166
2016-1242876,2016-01-08,000001,Vente,300000,12,,RUE OBERKAMPF,6858,75011,75111,Paris 11e Arrondissement,75,,,75111000AP0015,,,106,42.35,107,,,,,,,,2,2,Appartement,40,2,,,,,,2.368923,48.862907
2016-1242877,2016-01-15,000001,Vente,227700,25,,RUE DE LA FONTAINE AU ROI,3717,75011,75111,Paris 11e Arrondissement,75,,,75111000AC0026,,,614,33.56,,,,,,,,,1,2,Appartement,40,2,,,,,,2.370777,48.868673
2016-1242878,2016-01-13,000001,Vente,383000,166,,AV LEDRU ROLLIN,5467,75011,75111,Paris 11e Arrondissement,75,,,75111000BY0069,,,23,,50,45.49,,,,,,,2,2,Appartement,45,1,,,,,,2.379724,48.856852
2016-1242879,2016-01-22,000001,Vente,205000,246,,BD VOLTAIRE,9907,75011,75111,Paris 11e Arrondissement,75,,,75111000CR0151,,,12,24.74,,,,,,,,,1,2,Appartement,25,2,,,,,,2.390585,48.851143
2016-1242880,2016-01-13,000001,Vente,168000,82,,RUE DE LA FOLIE MERICOURT,3700,75011,75111,Paris 11e Arrondissement,75,,,75111000AB0019,,,96,,97,,,,,,,,2,2,Appartement,17,1,,,,,,2.370306,48.866458
2016-1242881,2016-01-05,000001,Vente,370000,10,,RUE DES TROIS BORNES,9456,75011,75111,Paris 11e Arrondissement,75,,,75111000AM0014,,,23,41.71,,,,,,,,,1,2,Appartement,41,2,,,,,,2.372983,48.86666
2016-1242882,2016-01-19,000001,Vente,147500,14,,RUE AMELOT,0272,75011,75111,Paris 11e Arrondissement,75,,,75111000BH0021,,,127,14.6,320,,,,,,,,2,2,Appartement,15,1,,,,,,2.369433,48.856502
2016-1242884,2016-01-15,000001,Vente,147270,127,,RUE DE MONTREUIL,6530,75011,75111,Paris 11e Arrondissement,75,,,75111000CN0016,,,16,,34,,,,,,,,2,2,Appartement,24,2,,,,,,2.39723,48.851416
2016-1242885,2016-01-21,000001,Vente,250000,143,,BD DE MENILMONTANT,6267,75011,75111,Paris 11e Arrondissement,75,,,75111000AV0073,,,28,,29,,,,,,,,2,2,Appartement,29,1,,,,,,2.382706,48.866739
2016-1242886,2016-01-21,000001,Vente,83000,103,,AV PHILIPPE AUGUSTE,7380,75011,75111,Paris 11e Arrondissement,75,,,75111000BS0046,,,148,9.5,,,,,,,,,1,2,Appartement,9,1,,,,,,2.390396,48.856523
2016-1242887,2016-01-20,000001,Vente,25000,30,,RUE PETION,7312,75011,75111,Paris 11e Arrondissement,75,,,75111000BO0096,,,57,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.381047,48.85972
2016-1242889,2016-01-21,000001,Vente,150000,62,,AV PHILIPPE AUGUSTE,7380,75011,75111,Paris 11e Arrondissement,75,,,75111000CM0001,,,4,34.24,,,,,,,,,1,2,Appartement,33,2,,,,,,2.393083,48.853497
2016-1242889,2016-01-21,000001,Vente,150000,62,,AV PHILIPPE AUGUSTE,7380,75011,75111,Paris 11e Arrondissement,75,,,75111000CM0001,,,1,78.16,,,,,,,,,1,4,Local industriel. commercial ou assimilé,93,0,,,,,,2.393083,48.853497
2016-1242890,2016-01-04,000001,Vente,195000,86,,RUE DE LA FOLIE MERICOURT,3700,75011,75111,Paris 11e Arrondissement,75,,,75111000AB0021,,,41,,,,,,,,,,1,2,Appartement,29,1,,,,,,2.370052,48.866688
2016-1242894,2016-01-26,000001,Vente,383040,157,,BD VOLTAIRE,9907,75011,75111,Paris 11e Arrondissement,75,,,75111000BW0057,,,29,,60,,,,,,,,2,2,Appartement,48,2,,,,,,2.385023,48.855302
2016-1242895,2016-01-25,000001,Vente,240000,4,,RUE NEUVE POPINCOURT,6730,75011,75111,Paris 11e Arrondissement,75,,,75111000AR0102,,,21,25.95,35,,,,,,,,2,2,Appartement,30,2,,,,,,2.373731,48.86447
2016-1242898,2016-01-12,000001,Vente,719000,1,,RUE IMMEUBLES INDUSTRIELS,4700,75011,75111,Paris 11e Arrondissement,75,,,75111000CP0101,,,16,77.88,425,,,,,,,,2,2,Appartement,80,3,,,,,,2.392387,48.849726
2016-1242900,2016-01-12,000001,Vente,691200,76,,BD RICHARD LENOIR,8208,75011,75111,Paris 11e Arrondissement,75,,,75111000BB0041,,,88,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.373159,48.861116
2016-1242900,2016-01-12,000001,Vente,691200,76,,BD RICHARD LENOIR,8208,75011,75111,Paris 11e Arrondissement,75,,,75111000BB0041,,,54,,8,,,,,,,,2,2,Appartement,81,4,,,,,,2.373159,48.861116
2016-1242901,2016-01-25,000001,Vente,230000,90,,RUE AMELOT,0272,75011,75111,Paris 11e Arrondissement,75,,,75111000AP0043,,,103,,278,,,,,,,,2,2,Appartement,26,1,,,,,,2.368391,48.861766
2016-1242903,2016-01-11,000001,Vente,60000,14,,RUE NEUVE POPINCOURT,6730,75011,75111,Paris 11e Arrondissement,75,,,75111000AR0127,,,13,14.51,,,,,,,,,1,2,Appartement,14,1,,,,,,2.374444,48.863746
2016-1242904,2016-01-11,000001,Vente,190000,102,,AV PHILIPPE AUGUSTE,7380,75011,75111,Paris 11e Arrondissement,75,,,75111000BR0036,,,28,,96,22.6,,,,,,,2,2,Appartement,23,1,,,,,,2.391392,48.856381
2016-1242905,2016-01-21,000001,Vente,425000,2,,AV PARMENTIER,7067,75011,75111,Paris 11e Arrondissement,75,,,75111000BL0040,,,40,46.37,,,,,,,,,1,2,Appartement,47,2,,,,,,2.380221,48.858882
2016-1242907,2016-01-25,000001,Vente,26000,73,,BD VOLTAIRE,9907,75011,75111,Paris 11e Arrondissement,75,,,75111000AZ0098,,,27,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.375751,48.860714
2016-1242908,2016-01-26,000001,Vente,95000,48,,RUE BASFROI,0701,75011,75111,Paris 11e Arrondissement,75,,,75111000BY0050,,,60,11.71,,,,,,,,,1,2,Appartement,11,1,,,,,,2.378642,48.856476
2016-1242915,2016-01-26,000001,Vente,3500,120,,RUE SAINT MAUR,8699,75011,75111,Paris 11e Arrondissement,75,,,75111000AK0001,,,46,,49,,,,,,,,2,2,Appartement,25,3,,,,,,2.376033,48.867471
2016-1242916,2016-01-15,000001,Vente,190000,153,,RUE AMELOT,0272,75011,75111,Paris 11e Arrondissement,75,,,75111000AN0013,,,28,,29,,,,,,,,2,2,Appartement,35,2,,,,,,2.365979,48.86554
2016-1242919,2016-01-14,000001,Vente,210000,16,,RUE DE LA FOLIE REGNAULT,3703,75011,75111,Paris 11e Arrondissement,75,,,75111000BS0012,,,11,29.59,140,,,,,,,,2,2,Appartement,30,1,,,,,,2.386861,48.85724
2016-1242920,2016-01-11,000001,Vente,130000,62,,RUE DE MONTREUIL,6530,75011,75111,Paris 11e Arrondissement,75,,,75111000CP0021,,,105,16.88,,,,,,,,,1,2,Appartement,15,1,,,,,,2.390289,48.850238
2016-1242921,2016-01-29,000001,Vente,274000,95,,RUE DE LA FOLIE MERICOURT,3700,75011,75111,Paris 11e Arrondissement,75,,,75111000AB0009,,,7,33.41,,,,,,,,,1,2,Appartement,30,2,,,,,,2.368794,48.867541
2016-1242923,2016-01-28,000001,Vente,8500,29,,RUE ALEXANDRE DUMAS,0155,75011,75111,Paris 11e Arrondissement,75,,,75111000CK0062,,,1097,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.391712,48.85361
2016-1242924,2016-01-18,000001,Vente,110000,90,,RUE AMELOT,0272,75011,75111,Paris 11e Arrondissement,75,,,75111000AP0043,,,41,14.08,,,,,,,,,1,2,Appartement,16,1,,,,,,2.368391,48.861766
2016-1242926,2016-01-28,000001,Vente,195000,6,,RUE MERCOEUR,6274,75011,75111,Paris 11e Arrondissement,75,,,75111000BV0098,,,99,21.24,,,,,,,,,1,2,Appartement,22,2,,,,,,2.383618,48.856909
2016-1242927,2016-01-08,000001,Vente,275000,18,,RUE DU MOULIN JOLY,6601,75011,75111,Paris 11e Arrondissement,75,,,75111000AH0049,,,1,53.05,,,,,,,,,1,4,Local industriel. commercial ou assimilé,82,0,,,,,,2.378901,48.869457
