name,annee,value,category,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Trafic,nb_lignes,date
 PORTE  DE  CHARENTON , 2014 , 7095 , 8 ,  ,  ,  ,  , 2105924 , 1 , 2014-01-01 
 PORTE  DE  CHOISY , 2014 , 6034 , 7 ,  ,  ,  ,  , 2598026 , 1 , 2014-01-01 
 PORTE  DE  CLICHY , 2014 , 7725 , 13 ,  ,  ,  ,  , 4495978 , 1 , 2014-01-01 
 PORTE  DE  CLIGNANCOURT , 2014 , 6833 , 4 ,  ,  ,  ,  , 8393535 , 1 , 2014-01-01 
 PORTE  DE  LA  CHAPELLE , 2014 , 5605 , 12 ,  ,  ,  ,  , 2379751 , 1 , 2014-01-01 
 PORTE  DE  LA  VILLETTE , 2014 , 5396 , 7 ,  ,  ,  ,  , 4159555 , 1 , 2014-01-01 
 PORTE  DE  MONTREUIL , 2014 , 5811 , 9 ,  ,  ,  ,  , 4344016 , 1 , 2014-01-01 
 PORTE  DE  PANTIN , 2014 , 6450 , 5 ,  ,  ,  ,  , 5615256 , 1 , 2014-01-01 
 PORTE  DE  SAINT-CLOUD , 2014 , 7632 , 9 ,  ,  ,  ,  , 5174694 , 1 , 2014-01-01 
 PORTE  DE  SAINT-OUEN , 2014 , 6716 , 13 ,  ,  ,  ,  , 3761155 , 1 , 2014-01-01 
 PORTE  DE  VANVES , 2014 , 6927 , 13 ,  ,  ,  ,  , 4660158 , 1 , 2014-01-01 
 PORTE  DE  VERSAILLES , 2014 , 7047 , 12 ,  ,  ,  ,  , 5823995 , 1 , 2014-01-01 
 PORTE  DE  VINCENNES , 2014 , 7108 , 1 ,  ,  ,  ,  , 7633984 , 1 , 2014-01-01 
 PORTE  DES  LILAS , 2014 , 5961 , 3bis , 11 ,  ,  ,  , 3439385 , 2 , 2014-01-01 
 PORTE  DOREE , 2014 , 7095 , 8 ,  ,  ,  ,  , 2763236 , 1 , 2014-01-01 
 PORTE  MAILLOT , 2014 , 8247 , 1 ,  ,  ,  ,  , 8226552 , 1 , 2014-01-01 
 PRE  SAINT-GERVAIS , 2014 , 5923 , 7bis ,  ,  ,  ,  , 386948 , 1 , 2014-01-01 
 PYRAMIDES , 2014 , 10860 , 7 , 14 ,  ,  ,  , 6069724 , 2 , 2014-01-01 
 PYRENEES , 2014 , 6720 , 11 ,  ,  ,  ,  , 2920049 , 1 , 2014-01-01 
 QUAI  DE  LA  GARE , 2014 , 5952 , 6 ,  ,  ,  ,  , 3033927 , 1 , 2014-01-01 
 QUAI  DE  LA  RAPEE , 2014 , 8853 , 5 ,  ,  ,  ,  , 1155002 , 1 , 2014-01-01 
 QUATRE  SEPTEMBRE , 2014 , 10282 , 3 ,  ,  ,  ,  , 1997741 , 1 , 2014-01-01 
 RAMBUTEAU , 2014 , 10075 , 11 ,  ,  ,  ,  , 3219510 , 1 , 2014-01-01 
 RANELAGH , 2014 , 9029 , 9 ,  ,  ,  ,  , 2314539 , 1 , 2014-01-01 
 RASPAIL , 2014 , 9480 , 4 , 6 ,  ,  ,  , 1887146 , 2 , 2014-01-01 
 REAUMUR-SEBASTOPOL , 2014 , 9240 , 3 , 4 ,  ,  ,  , 5291106 , 2 , 2014-01-01 
 RENNES , 2014 , 11059 , 12 ,  ,  ,  ,  , 1181641 , 1 , 2014-01-01 
 REPUBLIQUE , 2014 , 8693 , 3 , 5 , 8 , 9 , 11 , 16596521 , 5 , 2014-01-01 
 REUILLY-DIDEROT , 2014 , 7834 , 1 , 8 ,  ,  ,  , 6328040 , 2 , 2014-01-01 
 RICHARD  LENOIR , 2014 , 8535 , 5 ,  ,  ,  ,  , 2422197 , 1 , 2014-01-01 
 RICHELIEU-DROUOT , 2014 , 10071 , 8 , 9 ,  ,  ,  , 5014491 , 2 , 2014-01-01 
 RIQUET , 2014 , 6003 , 7 ,  ,  ,  ,  , 2312581 , 1 , 2014-01-01 
 ROME , 2014 , 8856 , 2 ,  ,  ,  ,  , 2753714 , 1 , 2014-01-01 
 RUE  DE  LA  POMPE  (AVENUE  GEORGES  MANDEL) , 2014 , 9682 , 9 ,  ,  ,  ,  , 3004505 , 1 , 2014-01-01 
 RUE  DES  BOULETS , 2014 , 7759 , 9 ,  ,  ,  ,  , 2583609 , 1 , 2014-01-01 
 RUE  DU  BAC , 2014 , 12961 , 12 ,  ,  ,  ,  , 2304665 , 1 , 2014-01-01 
 SAINT-AMBROISE , 2014 , 7989 , 9 ,  ,  ,  ,  , 2977955 , 1 , 2014-01-01 
 SAINT-AUGUSTIN , 2014 , 13372 , 9 ,  ,  ,  ,  , 3052723 , 1 , 2014-01-01 
 SAINT-FARGEAU , 2014 , 6196 , 3bis ,  ,  ,  ,  , 716699 , 1 , 2014-01-01 
 SAINT-FRANCOIS-XAVIER , 2014 , 10946 , 13 ,  ,  ,  ,  , 1701996 , 1 , 2014-01-01 
 SAINT-GEORGES , 2014 , 9015 , 12 ,  ,  ,  ,  , 1135274 , 1 , 2014-01-01 
 SAINT-GERMAIN-DES-PRES , 2014 , 12398 , 4 ,  ,  ,  ,  , 3866889 , 1 , 2014-01-01 
 SAINT-JACQUES , 2014 , 8323 , 6 ,  ,  ,  ,  , 1954772 , 1 , 2014-01-01 
 SAINT-LAZARE , 2014 , 12347 , 3 , 9 , 12 , 13 , 14 , 46923920 , 5 , 2014-01-01 
 SAINT-MARCEL , 2014 , 5497 , 5 ,  ,  ,  ,  , 2131369 , 1 , 2014-01-01 
 SAINT-MAUR , 2014 , 7683 , 3 ,  ,  ,  ,  , 2924501 , 1 , 2014-01-01 
 SAINT-MICHEL , 2014 , 12181 , 4 ,  ,  ,  ,  , 6286034 , 1 , 2014-01-01 
 SAINT-PAUL  (LE  MARAIS) , 2014 , 10944 , 1 ,  ,  ,  ,  , 6502842 , 1 , 2014-01-01 
 SAINT-PHILIPPE-DU-ROULE , 2014 , 10746 , 9 ,  ,  ,  ,  , 3187997 , 1 , 2014-01-01 
 SAINT-PLACIDE , 2014 , 10857 , 4 ,  ,  ,  ,  , 3304968 , 1 , 2014-01-01 
 SAINT-SEBASTIEN  FROISSART , 2014 , 9136 , 8 ,  ,  ,  ,  , 1685816 , 1 , 2014-01-01 
 SAINT-SULPICE , 2014 , 12181 , 4 ,  ,  ,  ,  , 2287634 , 1 , 2014-01-01 
 SEGUR , 2014 , 9118 , 10 ,  ,  ,  ,  , 1669348 , 1 , 2014-01-01 
 SENTIER , 2014 , 9393 , 3 ,  ,  ,  ,  , 3420249 , 1 , 2014-01-01 
 SEVRES-BABYLONE , 2014 , 11672 , 10 , 12 ,  ,  ,  , 5037509 , 2 , 2014-01-01 
 SEVRES-LECOURBE , 2014 , 9185 , 6 ,  ,  ,  ,  , 1957206 , 1 , 2014-01-01 
 SIMPLON , 2014 , 6812 , 4 ,  ,  ,  ,  , 2366858 , 1 , 2014-01-01 
 SOLFERINO , 2014 , 13317 , 12 ,  ,  ,  ,  , 2073832 , 1 , 2014-01-01 
 STALINGRAD , 2014 , 6455 , 2 , 5 , 7 ,  ,  , 6891050 , 3 , 2014-01-01 
 STRASBOURG-SAINT-DENIS , 2014 , 8614 , 4 , 8 , 9 ,  ,  , 9524965 , 3 , 2014-01-01 
 SULLY-MORLAND , 2014 , 10874 , 7 ,  ,  ,  ,  , 1502672 , 1 , 2014-01-01 
 TELEGRAPHE , 2014 , 6262 , 11 ,  ,  ,  ,  , 1823734 , 1 , 2014-01-01 
 TEMPLE , 2014 , 8847 , 3 ,  ,  ,  ,  , 1194283 , 1 , 2014-01-01 
 TERNES , 2014 , 9509 , 2 ,  ,  ,  ,  , 3329214 , 1 , 2014-01-01 
 TOLBIAC , 2014 , 7363 , 7 ,  ,  ,  ,  , 3191066 , 1 , 2014-01-01 
 TRINITE-D'ESTIENNE  D'ORVES , 2014 , 9883 , 12 ,  ,  ,  ,  , 1876512 , 1 , 2014-01-01 
 TROCADERO , 2014 , 9553 , 6 , 9 ,  ,  ,  , 9327124 , 2 , 2014-01-01 
 TUILERIES , 2014 , 12642 , 1 ,  ,  ,  ,  , 2614837 , 1 , 2014-01-01 
