id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2014-1059691,2014-01-10,000001,Vente,5500,19,,RUE LA BRUYERE,5211,75009,75109,Paris 9e Arrondissement,75,,,75109000AH0047,,,12,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.335261,48.879004
2014-1059692,2014-01-07,000001,Vente,82000,41,,RUE DES MARTYRS,6147,75009,75109,Paris 9e Arrondissement,75,,,75109000AF0058,,,14,12.6,15,,19,,,,,,3,2,Appartement,25,2,,,,,,2.339429,48.879965
2014-1059693,2014-01-06,000001,Vente,599100,18,,RUE DE VINTIMILLE,9866,75009,75109,Paris 9e Arrondissement,75,,,75109000AA0084,,,5,66.41,,,,,,,,,1,2,Appartement,55,2,,,,,,2.329593,48.882305
2014-1059694,2014-01-07,000001,Vente,200000,14,,RUE LENTONNET,5519,75009,75109,Paris 9e Arrondissement,75,,,75109000BD0104,,,10,24,,,,,,,,,1,2,Appartement,23,1,,,,,,2.347894,48.880471
2014-1059698,2014-01-06,000001,Vente,90000,34,,RUE PETRELLE,7359,75009,75109,Paris 9e Arrondissement,75,,,75109000BD0063,,,27,10.79,,,,,,,,,1,2,Appartement,10,1,,,,,,2.34673,48.880996
2014-1059699,2014-01-08,000001,Vente,282000,3,,RUE BLEUE,1017,75009,75109,Paris 9e Arrondissement,75,,,75109000AX0060,,,30,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.34757,48.875602
2014-1059699,2014-01-08,000001,Vente,282000,3,,RUE BLEUE,1017,75009,75109,Paris 9e Arrondissement,75,,,75109000AX0060,,,25,,26,,51,,,,,,3,2,Appartement,26,1,,,,,,2.34757,48.875602
2014-1059701,2014-01-16,000001,Vente,1065000,15,,RUE VICTOR MASSE,9775,75009,75109,Paris 9e Arrondissement,75,,,75109000AF0049,,,52,,70,110.4,,,,,,,2,2,Appartement,90,3,,,,,,2.338811,48.880478
2014-1059702,2014-01-10,000001,Vente,382000,32,,RUE RODIER,8299,75009,75109,Paris 9e Arrondissement,75,,,75109000AZ0070,,,35,45.7,,,,,,,,,1,2,Appartement,46,2,,,,,,2.343371,48.878803
2014-1059704,2014-01-07,000001,Vente,1322306.89,1,,SQ LA BRUYERE,5212,75009,75109,Paris 9e Arrondissement,75,,,75109000AI0019,,,44,,,,,,,,,,1,2,Appartement,150,5,,,,,,2.332808,48.87903
