id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2014-1054431,2014-01-10,000001,Vente,483000,39,,RUE BEAUBOURG,0759,75003,75103,Paris 3e Arrondissement,75,,,75103000AU0072,,,23,,43,57,,,,,,,2,2,Appartement,55,3,,,,,,2.353688,48.862224
2014-1054432,2014-01-16,000001,Vente,226800,44,,RUE DE MONTMORENCY,6517,75003,75103,Paris 3e Arrondissement,75,,,75103000AV0079,,,27,36.3,,,,,,,,,1,2,Appartement,56,2,,,,,,2.353499,48.863803
2014-1054435,2014-01-06,000001,Vente,410000,12,,RUE DES HAUDRIETTES,4483,75003,75103,Paris 3e Arrondissement,75,,,75103000AR0007,,,19,53.67,,,,,,,,,1,2,Appartement,27,2,,,,,,2.357164,48.861888
2014-1054435,2014-01-06,000001,Vente,410000,12,,RUE DES HAUDRIETTES,4483,75003,75103,Paris 3e Arrondissement,75,,,75103000AR0007,,,20,,,,,,,,,,1,2,Appartement,20,1,,,,,,2.357164,48.861888
2014-1054436,2014-01-15,000001,Vente,675000,7,,RUE VOLTA,9905,75003,75103,Paris 3e Arrondissement,75,,,75103000AE0143,,,25,,26,,39,,,,,,3,2,Appartement,66,4,,,,,,2.356715,48.864921
2014-1054437,2014-01-15,000001,Vente,610000,12,,RUE DES GRAVILLIERS,4302,75003,75103,Paris 3e Arrondissement,75,,,75103000AE0080,,,19,57.41,,,,,,,,,1,2,Appartement,29,2,,,,,,2.357704,48.863736
2014-1054437,2014-01-15,000001,Vente,610000,12,,RUE DES GRAVILLIERS,4302,75003,75103,Paris 3e Arrondissement,75,,,75103000AE0080,,,19,57.41,,,,,,,,,1,2,Appartement,32,2,,,,,,2.357704,48.863736
2014-1054438,2014-01-07,000001,Vente,1995000,18,,RUE PERREE,7281,75003,75103,Paris 3e Arrondissement,75,,,75103000AG0051,,,12,156.18,14,,50,,,,,,3,2,Appartement,163,6,,,,,,2.360735,48.865103
2014-1054440,2014-01-03,000001,Vente,60000,75,,RUE VIEILLE DU TEMPLE,9783,75003,75103,Paris 3e Arrondissement,75,,,75103000AP0039,,,147,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.359054,48.859107
2014-1054444,2014-01-09,000001,Vente,115000,39,,RUE DES GRAVILLIERS,4302,75003,75103,Paris 3e Arrondissement,75,,,75103000AS0004,,,33,14.44,,,,,,,,,1,2,Appartement,14,1,,,,,,2.355544,48.863993
2014-1054445,2014-01-06,000001,Vente,1345000,41,,RUE REAUMUR,8073,75003,75103,Paris 3e Arrondissement,75,,,75103000AD0015,,,22,150.78,,,,,,,,,1,4,Local industriel. commercial ou assimilé,150,0,,,,,,2.354192,48.865735
2014-1054446,2014-01-16,000001,Vente,198600,16,,RUE BERANGER,0871,75003,75103,Paris 3e Arrondissement,75,,,75103000AG0016,,,44,12.52,45,,,,,,,,2,2,Appartement,16,1,,,,,,2.36399,48.866229
2014-1054452,2014-01-16,000001,Vente,451250,77,,RUE CHARLOT,1880,75003,75103,Paris 3e Arrondissement,75,,,75103000AH0022,,,134,45.81,,,,,,,,,1,2,Appartement,50,2,,,,,,2.364021,48.864435
2014-1054454,2014-01-09,000001,Vente,1100000,52,,RUE DE TURBIGO,9504,75003,75103,Paris 3e Arrondissement,75,,,75103000AE0001,,,25,110.97,6,,,,,,,,2,2,Appartement,112,5,,,,,,2.356984,48.865456
2014-1054455,2014-01-15,000001,Vente,855000,7,,RUE CHARLOT,1880,75003,75103,Paris 3e Arrondissement,75,,,75103000AQ0016,,,27,,55,,81,,,,,,3,2,Appartement,90,3,,,,,,2.360101,48.861319
2014-1054456,2014-01-17,000001,Vente,1810000,20,,RUE PERREE,7281,75003,75103,Paris 3e Arrondissement,75,,,75103000AG0052,,,33,,35,,7,20.4,8,138.3,,,4,2,Appartement,153,6,,,,,,2.360644,48.865234
2014-1054457,2014-01-24,000001,Vente,1095000,1,,RUE DES MINIMES,6375,75003,75103,Paris 3e Arrondissement,75,,,75103000AN0066,,,23,8.69,30,,,,,,,,2,3,Dépendance,,0,,,,,,2.367113,48.856891
2014-1054457,2014-01-24,000001,Vente,1095000,1,,RUE DES MINIMES,6375,75003,75103,Paris 3e Arrondissement,75,,,75103000AN0066,,,42,,8,110.58,,,,,,,2,2,Appartement,97,4,,,,,,2.367113,48.856891
2014-1054458,2014-01-21,000001,Vente,653000,20,,RUE RAMBUTEAU,8009,75003,75103,Paris 3e Arrondissement,75,,,75103000AT0027,,,37,,97,,,,,,,,2,2,Appartement,65,4,,,,,,2.35474,48.861073
2014-1054459,2014-01-22,000002,Vente,105000,39,,RUE VOLTA,9905,75003,75103,Paris 3e Arrondissement,75,,,75103000AC0011,,,44,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.357717,48.866486
2014-1054463,2014-01-03,000001,Vente,1350000,47,,BD BEAUMARCHAIS,0783,75003,75103,Paris 3e Arrondissement,75,,,75103000AN0052,,,12,145.17,,,,,,,,,1,2,Appartement,140,5,,,,,,2.367696,48.856856
2014-1054464,2014-01-13,000001,Vente,75000,11,,BD DU TEMPLE,9190,75003,75103,Paris 3e Arrondissement,75,,,75103000AJ0006,,,41,,42,,,,,,,,2,2,Appartement,25,1,,,,,,2.365715,48.863694
2014-1054469,2014-01-18,000001,Vente,202500,2,,RUE DES GRAVILLIERS,4302,75003,75103,Paris 3e Arrondissement,75,,,75103000AE0075,,,6,40,,,,,,,,,1,2,Appartement,40,2,,,,,,2.358133,48.863471
2014-1054470,2014-01-17,000001,Vente,492000,11,B,RUE SAINT GILLES,8627,75003,75103,Paris 3e Arrondissement,75,,,75103000AN0034,,,3,,,,,,,,,,1,2,Appartement,16,1,,,,,,2.365304,48.857822
2014-1054470,2014-01-17,000001,Vente,492000,11,B,RUE SAINT GILLES,8627,75003,75103,Paris 3e Arrondissement,75,,,75103000AN0034,,,2,57.31,,,,,,,,,1,2,Appartement,22,1,,,,,,2.365304,48.857822
2014-1054470,2014-01-17,000001,Vente,492000,11,B,RUE SAINT GILLES,8627,75003,75103,Paris 3e Arrondissement,75,,,75103000AN0034,,,4,,,,,,,,,,1,2,Appartement,19,1,,,,,,2.365304,48.857822
2014-1054475,2014-01-24,000001,Vente,360000,18,,RUE RAMBUTEAU,8009,75003,75103,Paris 3e Arrondissement,75,,,75103000AT0028,,,28,36.22,46,,,,,,,,2,2,Appartement,43,2,,,,,,2.35501,48.861067
2014-1054478,2014-01-28,000001,Vente,70000,6,,CITE NOEL,6792,75003,75103,Paris 3e Arrondissement,75,,,75103000AT0081,,,35,13.74,36,,,,,,,,2,2,Appartement,12,1,,,,,,2.354407,48.86134
2014-1054485,2014-01-21,000001,Vente,305000,34,,RUE NOTRE DAME DE NAZARETH,6834,75003,75103,Paris 3e Arrondissement,75,,,75103000AF0161,,,108,27.75,,,,,,,,,1,2,Appartement,33,2,,,,,,2.359216,48.867617
2014-1054486,2014-01-29,000001,Vente,830000,18,,RUE REAUMUR,8073,75003,75103,Paris 3e Arrondissement,75,,,75103000AE0021,,,27,,6,94.88,,,,,,,2,2,Appartement,96,3,,,,,,2.358805,48.865153
