id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2014-1084809,2014-01-09,000001,Vente,805000,24,,PAS DU MONTENEGRO,6480,75019,75119,Paris 19e Arrondissement,75,,,75119000DW0176,,,42,,,,,,,,,,1,2,Appartement,34,2,,,,,,2.40166,48.876789
2014-1084809,2014-01-09,000001,Vente,805000,24,,PAS DU MONTENEGRO,6480,75019,75119,Paris 19e Arrondissement,75,,,75119000DW0176,,,4,,5,,,,,,,,2,2,Appartement,90,4,,,,,,2.40166,48.876789
2014-1084813,2014-01-14,000001,Vente,20000,22,,RUE CLAVEL,2092,75019,75119,Paris 19e Arrondissement,75,,,75119000EB0107,,,72,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.384008,48.875994
2014-1084816,2014-01-09,000001,Vente,152000,77,,AV JEAN JAURES,4903,75019,75119,Paris 19e Arrondissement,75,,,75119000AW0019,,,225,19.1,231,,,,,,,,2,2,Appartement,18,1,,,,,,2.37808,48.885325
2014-1084818,2014-01-13,000001,Vente,145000,8,,RUE DE L ORME,6940,75019,75119,Paris 19e Arrondissement,75,,,75119000DV0024,,,16,18.06,52,,,,,,,,2,2,Appartement,18,1,,,,,,2.400456,48.878176
2014-1084820,2014-01-10,000001,Vente,175000,30,,RUE CLAVEL,2092,75019,75119,Paris 19e Arrondissement,75,,,75119000EB0022,,,4,,,,,,,,,,1,2,Appartement,13,1,,,,,,2.384083,48.876496
2014-1084820,2014-01-10,000001,Vente,175000,30,,RUE CLAVEL,2092,75019,75119,Paris 19e Arrondissement,75,,,75119000EB0022,,,2,28.52,,,,,,,,,1,2,Appartement,16,1,,,,,,2.384083,48.876496
2014-1084821,2014-01-09,000001,Vente,270000,104,,AV SIMON BOLIVAR,8978,75019,75119,Paris 19e Arrondissement,75,,,75119000ET0029,,,21,35.41,,,,,,,,,1,2,Appartement,44,2,,,,,,2.374587,48.878615
2014-1084827,2014-01-09,000001,Vente,73000,40,,RUE BOURET,1195,75019,75119,Paris 19e Arrondissement,75,,,75119000AV0008,,,322,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.373805,48.882187
2014-1084827,2014-01-09,000001,Vente,73000,40,,RUE BOURET,1195,75019,75119,Paris 19e Arrondissement,75,,,75119000AV0008,,,251,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.373805,48.882187
2014-1084827,2014-01-09,000001,Vente,73000,40,,RUE BOURET,1195,75019,75119,Paris 19e Arrondissement,75,,,75119000AV0008,,,230,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.373805,48.882187
2014-1084828,2014-01-15,000001,Vente,308220,142,,BD DE LA VILLETTE,9838,75019,75119,Paris 19e Arrondissement,75,,,75119000AS0021,,,109,37.4,114,,131,,146,,,,4,2,Appartement,32,2,,,,,,2.370821,48.879179
2014-1084829,2014-01-08,000001,Vente,185000,45,,RUE DE NANTES,6671,75019,75119,Paris 19e Arrondissement,75,,,75119000BH0004,,,42,23.8,66,,,,,,,,2,2,Appartement,21,2,,,,,,2.380304,48.892635
2014-1084830,2014-01-10,000001,Vente,140000,8,,RUE MELINGUE,6257,75019,75119,Paris 19e Arrondissement,75,,,75119000EB0055,,,3,17.65,,,,,,,,,1,2,Appartement,22,1,,,,,,2.386175,48.875025
2014-1084838,2014-01-07,000001,Vente,230700,1,,IMP DES ANGLAIS,0345,75019,75119,Paris 19e Arrondissement,75,,,75119000AO0081,,,49,,,,,,,,,,1,2,Appartement,12,1,,,,,,2.376017,48.889039
2014-1084839,2014-01-06,000001,Vente,306160,14,,RUE MANIN,5976,75019,75119,Paris 19e Arrondissement,75,,,75119000DH0003,,,48,41.91,8,,,,,,,,2,2,Appartement,40,2,,,,,,2.38677,48.882874
2014-1084842,2014-01-15,000001,Vente,9750,49,,RUE DE ROMAINVILLE,8333,75019,75119,Paris 19e Arrondissement,75,,,75119000DT0086,,,1094,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.402446,48.877952
2014-1084843,2014-01-03,000001,Vente,220000,66,,RUE DE CRIMEE,2443,75019,75119,Paris 19e Arrondissement,75,,,75119000DH0011,,,204,,,,,,,,,,1,2,Appartement,36,1,,,,,,2.388001,48.881545
2014-1084843,2014-01-03,000001,Vente,220000,66,,RUE DE CRIMEE,2443,75019,75119,Paris 19e Arrondissement,75,,,75119000DH0011,,,419,33.46,,,,,,,,,1,2,Appartement,36,1,,,,,,2.388001,48.881545
2014-1084844,2014-01-13,000001,Vente,469000,160,,RUE D AUBERVILLIERS,0517,75019,75119,Paris 19e Arrondissement,75,,,75119000AH0027,,,4066,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.370725,48.893658
2014-1084844,2014-01-13,000001,Vente,469000,160,,RUE D AUBERVILLIERS,0517,75019,75119,Paris 19e Arrondissement,75,,,75119000AH0027,,,3076,87.03,3116,,,,,,,,2,2,Appartement,87,4,,,,,,2.370725,48.893658
2014-1084849,2014-01-06,000001,Vente,105000,12,,RUE DE ROUEN,8386,75019,75119,Paris 19e Arrondissement,75,,,75119000AO0032,,,166,21.98,,,,,,,,,1,2,Appartement,68,2,,,,,,2.37435,48.887725
2014-1084851,2014-01-13,000001,Vente,265000,121,,AV SIMON BOLIVAR,8978,75019,75119,Paris 19e Arrondissement,75,,,75119000ET0010,,,3,11.85,,,,,,,,,1,4,Local industriel. commercial ou assimilé,12,0,,,,,,2.373835,48.880544
2014-1084852,2014-01-16,000001,Vente,420000,18,,RUE EURYALE DEHAYNIN,3455,75019,75119,Paris 19e Arrondissement,75,,,75119000AY0003,,,403,65.5,457,,,,,,,,2,2,Appartement,65,3,,,,,,2.377729,48.886414
2014-1084853,2014-01-06,000001,Vente,10000,42,,RUE DES SOLITAIRES,9017,75019,75119,Paris 19e Arrondissement,75,,,75119000EA0044,,,5,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.391067,48.87643
2014-1084854,2014-01-16,000001,Vente,225000,2,,RUE PRADIER,7779,75019,75119,Paris 19e Arrondissement,75,,,75119000EC0013,,,39,,7,26.66,,,,,,,2,2,Appartement,28,2,,,,,,2.381378,48.8748
2014-1084856,2014-01-20,000001,Vente,540000,6,,RUE ARTHUR ROZIER,0481,75019,75119,Paris 19e Arrondissement,75,,,75119000DZ0087,,,715,74.02,716,,,,,,,,2,2,Appartement,72,2,,,,,,2.391284,48.877326
2014-1084859,2014-01-15,000001,Vente,240000,82,,QUAI DE LA LOIRE,5732,75019,75119,Paris 19e Arrondissement,75,,,75119000AY0041,,,322,27.18,484,,,,,,,,2,2,Appartement,29,1,,,,,,2.379117,48.887083
2014-1084860,2014-01-10,000001,Vente,15000,146,,AV JEAN JAURES,4903,75019,75119,Paris 19e Arrondissement,75,,,75119000CT0041,,,191,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.387111,48.88663
2014-1084864,2014-01-02,000001,Vente,24500,40,,RUE BOURET,1195,75019,75119,Paris 19e Arrondissement,75,,,75119000AV0008,,,258,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.373805,48.882187
2014-1084866,2014-01-03,000001,Vente,26500,40,,RUE BOURET,1195,75019,75119,Paris 19e Arrondissement,75,,,75119000AV0008,,,198,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.373805,48.882187
2014-1084867,2014-01-03,000001,Vente,23000,40,,RUE BOURET,1195,75019,75119,Paris 19e Arrondissement,75,,,75119000AV0008,,,214,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.373805,48.882187
2014-1084868,2014-01-20,000001,Vente,69000,1,,IMP DES ANGLAIS,0345,75019,75119,Paris 19e Arrondissement,75,,,75119000AO0081,,,45,9.2,64,,,,,,,,2,2,Appartement,9,1,,,,,,2.376017,48.889039
2014-1084870,2014-01-16,000001,Vente,380000,30,,RUE DES ARDENNES,0427,75019,75119,Paris 19e Arrondissement,75,,,75119000BC0009,,,757,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.385064,48.89049
2014-1084870,2014-01-16,000001,Vente,380000,30,,RUE DES ARDENNES,0427,75019,75119,Paris 19e Arrondissement,75,,,75119000BC0009,,,515,,546,56.01,,,,,,,2,2,Appartement,57,3,,,,,,2.385064,48.89049
2014-1084873,2014-01-03,000001,Vente,330100,6,T,CITE JANDELLE,4814,75019,75119,Paris 19e Arrondissement,75,,,75119000EE0036,,,246,,,,,,,,,,1,2,Appartement,11,1,,,,,,2.380516,48.875636
2014-1084873,2014-01-03,000001,Vente,330100,6,T,CITE JANDELLE,4814,75019,75119,Paris 19e Arrondissement,75,,,75119000EE0036,,,227,44.05,,,,,,,,,1,2,Appartement,44,2,,,,,,2.380516,48.875636
2014-1084874,2014-01-17,000001,Vente,8500000,42,,RUE ARMAND CARREL,0451,75019,75119,Paris 19e Arrondissement,75,,,75119000EO0045,,,4,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,12,0,,,,,,2.376351,48.88299
2014-1084874,2014-01-17,000001,Vente,8500000,42,,RUE ARMAND CARREL,0451,75019,75119,Paris 19e Arrondissement,75,,,75119000EO0045,,,4,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,12,0,,,,,,2.376351,48.88299
2014-1084874,2014-01-17,000001,Vente,8500000,42,,RUE ARMAND CARREL,0451,75019,75119,Paris 19e Arrondissement,75,,,75119000EO0045,,,4,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,12,0,,,,,,2.376351,48.88299
2014-1084874,2014-01-17,000001,Vente,8500000,42,,RUE ARMAND CARREL,0451,75019,75119,Paris 19e Arrondissement,75,,,75119000EO0045,,,1,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,360,0,,,,,,2.376351,48.88299
2014-1084874,2014-01-17,000001,Vente,8500000,42,,RUE ARMAND CARREL,0451,75019,75119,Paris 19e Arrondissement,75,,,75119000EO0045,,,4,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,12,0,,,,,,2.376351,48.88299
2014-1084874,2014-01-17,000001,Vente,8500000,42,,RUE ARMAND CARREL,0451,75019,75119,Paris 19e Arrondissement,75,,,75119000EO0045,,,4,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,284,0,,,,,,2.376351,48.88299
2014-1084874,2014-01-17,000001,Vente,8500000,42,,RUE ARMAND CARREL,0451,75019,75119,Paris 19e Arrondissement,75,,,75119000EO0045,,,4,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,12,0,,,,,,2.376351,48.88299
2014-1084874,2014-01-17,000001,Vente,8500000,42,,RUE ARMAND CARREL,0451,75019,75119,Paris 19e Arrondissement,75,,,75119000EO0045,,,4,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,12,0,,,,,,2.376351,48.88299
2014-1084874,2014-01-17,000001,Vente,8500000,42,,RUE ARMAND CARREL,0451,75019,75119,Paris 19e Arrondissement,75,,,75119000EO0045,,,1,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,360,0,,,,,,2.376351,48.88299
2014-1084874,2014-01-17,000001,Vente,8500000,42,,RUE ARMAND CARREL,0451,75019,75119,Paris 19e Arrondissement,75,,,75119000EO0045,,,4,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,12,0,,,,,,2.376351,48.88299
2014-1084874,2014-01-17,000001,Vente,8500000,42,,RUE ARMAND CARREL,0451,75019,75119,Paris 19e Arrondissement,75,,,75119000EO0045,,,4,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,12,0,,,,,,2.376351,48.88299
2014-1084874,2014-01-17,000001,Vente,8500000,42,,RUE ARMAND CARREL,0451,75019,75119,Paris 19e Arrondissement,75,,,75119000EO0045,,,4,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,12,0,,,,,,2.376351,48.88299
2014-1084874,2014-01-17,000001,Vente,8500000,42,,RUE ARMAND CARREL,0451,75019,75119,Paris 19e Arrondissement,75,,,75119000EO0045,,,1,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,40,0,,,,,,2.376351,48.88299
2014-1084874,2014-01-17,000001,Vente,8500000,42,,RUE ARMAND CARREL,0451,75019,75119,Paris 19e Arrondissement,75,,,75119000EO0045,,,4,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,12,0,,,,,,2.376351,48.88299
2014-1084874,2014-01-17,000001,Vente,8500000,42,,RUE ARMAND CARREL,0451,75019,75119,Paris 19e Arrondissement,75,,,75119000EO0045,,,1,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,360,0,,,,,,2.376351,48.88299
