id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2014-1074746,2014-01-03,000001,Vente,842280,96,,RUE DE LA FAISANDERIE,3487,75016,75116,Paris 16e Arrondissement,75,,,75116000ED0026,,,145,,180,104.3,,,,,,,2,2,Appartement,100,4,,,,,,2.273896,48.866377
2014-1074747,2014-01-02,000001,Vente,1060000,34,,RUE DE LA FAISANDERIE,3487,75016,75116,Paris 16e Arrondissement,75,,,75116000EE0008,,,14,126,69,,,,,,,,2,2,Appartement,120,5,,,,,,2.276018,48.869642
2014-1074748,2014-01-08,000001,Vente,2730000,62,,AV DE NEW YORK,6741,75016,75116,Paris 16e Arrondissement,75,,,75116000DQ0004,,,9,169.16,,,,,,,,,1,3,Dépendance,,0,,,,,,2.288139,48.858479
2014-1074748,2014-01-08,000001,Vente,2730000,62,,AV DE NEW YORK,6741,75016,75116,Paris 16e Arrondissement,75,,,75116000DQ0004,,,9,169.16,,,,,,,,,1,3,Dépendance,,0,,,,,,2.288139,48.858479
2014-1074748,2014-01-08,000001,Vente,2730000,62,,AV DE NEW YORK,6741,75016,75116,Paris 16e Arrondissement,75,,,75116000DQ0004,,,9,169.16,,,,,,,,,1,2,Appartement,165,4,,,,,,2.288139,48.858479
2014-1074749,2014-01-10,000001,Vente,308000,20,,RUE LAURISTON,5401,75016,75116,Paris 16e Arrondissement,75,,,75116000FG0009,,,28,30.43,,,,,,,,,1,2,Appartement,34,1,,,,,,2.291866,48.871624
2014-1074750,2014-01-09,000001,Vente,1582750,1,B,BD DE MONTMORENCY,6516,75016,75116,Paris 16e Arrondissement,75,,,75116000BN0007,,,13,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.264758,48.855585
2014-1074750,2014-01-09,000001,Vente,1582750,1,B,BD DE MONTMORENCY,6516,75016,75116,Paris 16e Arrondissement,75,,,75116000BN0007,,,7,,,,,,,,,,1,2,Appartement,131,6,,,,,,2.264758,48.855585
2014-1074750,2014-01-09,000001,Vente,1582750,1,B,BD DE MONTMORENCY,6516,75016,75116,Paris 16e Arrondissement,75,,,75116000BN0007,,,12,,15,,,,,,,,2,2,Appartement,19,1,,,,,,2.264758,48.855585
2014-1074751,2014-01-07,000001,Vente,269000,15,,RUE GEORGE SAND,4116,75016,75116,Paris 16e Arrondissement,75,,,75116000BX0110,,,1,52.05,,,,,,,,,1,4,Local industriel. commercial ou assimilé,55,0,,,,,,2.26867,48.849338
2014-1074752,2014-01-09,000001,Vente,200000,46,,RUE RAFFET,7998,75016,75116,Paris 16e Arrondissement,75,,,75116000BS0004,,,581,,582,,583,,584,,585,,5,2,Appartement,23,1,,,,,,2.263769,48.852605
2014-1074753,2014-01-08,000001,Vente,280000,5,B,RUE DE MUSSET,6649,75016,75116,Paris 16e Arrondissement,75,,,75116000AR0019,,,384,22.63,,,,,,,,,1,2,Appartement,20,1,,,,,,2.264982,48.841559
2014-1074754,2014-01-09,000001,Vente,82000,85,,AV HENRI MARTIN,4567,75016,75116,Paris 16e Arrondissement,75,,,75116000DI0010,,,61,9.46,,,,,,,,,1,3,Dépendance,,0,,,,,,2.27445,48.863907
